에너지자원공학실습,박형동,23,Fall,5.0,"엄청난 꿀강
박형동 그는 신인가?
신 그는 형동인가?
👍👍"
에너지와 기술의 경제학,허은녕,22,Spring,4.0,"레포트 5개: 에너지 사용량, 가격, 기업 등 조사
팀별 주제 연구와 발표 (주제: 캠퍼스에서 사용되는 에너지를 줄이기) + 에너지 첨단 기술 연구 중이신 교수님 인터뷰
기말고사 대체 과제: 한 학기동안 사용한 에너지 계산해보기

과제는 많았지만, 국내외 에너지 산업에 대해 폭넓게 배울 수 있어서 좋았습니다. 특히 공대생으로서 경제적인 관점에서 에너지 산업을 볼 수 있는 기회가 되어서 좋았어요!"
에너지와 기술의 경제학,허은녕,22,Spring,5.0,"과제 너어무 많다. 그러나 에너지, 자원에 관심 있다면 충분히 흥미롭게 할만한 강의라고 판단됨! 수업도 나름 재밌었고, 시험도 없어서 좋았음. 조별 과제도 흥미로웠고.

에너지에 관심이 많은 에자공 학생이라면 충분히 들을만한 가치가 있는 수업!

단점은 과제 점수를 아예 안 알려주셔서, 랜덤임. 그래도 잘 한 사람은 좋은 성적을 받았음."
에너지와 기술의 경제학,허은녕,22,Spring,4.0,"비록 나의 학점은 아디오스 였지만, 수업 되게 괜찮음. 에너지와 기술의 경제학이라는 말에 따라서 엄청 과학적인 부분이라기 본단 경제적 부분이 더 부각된 점이 있어서, 타과생 분들도 에자공 겉겉핥기 정도로 들을만 하다고 생각됩니다. 그럲지만 보고서는 너무너무너무 많아요!!!!! 과제 폭탄이라서 1점 깎음,,,,,,,,,^^"
물질 및 에너지 수지,김지현,23,Spring,5.0,"교수님 인품이 좋으십니다.
중간중간 강연 연사도 초청해주십니다."
물질 및 에너지 수지,김지현,23,Summer,5.0,중간에 비해서는 기말은 어려운 편이었지만 할만 합니다. 텀페이퍼가 좀 어렵긴 하지만 점수는 잘 주시는 것 같아요.
물질 및 에너지 수지,김지현,23,Spring,5.0,"피피티에 나오는 문제들만 다 풀 수 있어도 좋은 점수 받을 수 있을듯. 중간 기말 생각보다 쉬웠고, 텀페이퍼는 어려웠는데 쓰기만 하면 다 만점 주는듯합니다"
물질 및 에너지 수지,김지현,22,Spring,4.0,교수님이 조용하신데 재밌으심. 기말고사 때 컨닝 페이퍼 가져오라 했는데 큰 의미는 없는거 같음.
물질 및 에너지 수지,김지현,22,Spring,5.0,"새로 오신 교수님이십니다.

물에수 내용 자체가 사실 기본적인 양론과 유사하다보니 쉬운편에 속합니다. 교수님도 이를 아시다보니 강의 중간에 화생공에 대한 이야기를 섞어주시는 것 같습니다. 어무래도 2학년 강의이다 보니 진로 선정에 도움이 될 법한 이야기를 많이 해주십니다.

강의력도 좋으시고, 시험도 무난하게 나오고, 과제도 기말 직전에 큰 문제 하나만 내줄 정도로 로드도 적습니다. 다만 유일한 단점은 출석을 굳이 강의 시작 10~5분전으로 일찍 부른다는 점...? 학점은 정확한 통계가 공개되지 않아서 잘 모르겠지만 무난하게 주시는 것 같습니다.

물에수 자체가 내용이 쉽지만 거의 전필에 가까운 전선필인데, 진로에 대한 내용까지 간단하게 접할 수 있어 좋은 강의었습니다. 추천드립니다."
물질 및 에너지 수지,김지현,22,Spring,5.0,"교수님이 친절하게 설명해주셔서 이해하는데 문제는 없었습니다. 다만 목소리가 나긋나긋 하셔서 살짝 졸립니다. 기말 직전에 과제로 case study를 주시는데 공정에 대한 설명이 적힌 2~3페이지 글을 읽고 주어지는 7문제를 풀면 됩니다. 엄청 어렵지는 않지만 복잡해서 시간이 꽤 걸립니다. 기한은 기말 시험 당일입니다.
시험은 중간, 기말 두번 봅니다. 중간은 mass balance에 대해서만 다루고, 기말은 전범위로 a4 1장짜리 커닝페이퍼를 써오라고 하셨습니다. 중간은 엄청 쉽게 나와서 평균이 80 나왔는데 기말은 어렵게 나와서 평균 43.3 중간값 50이 나왔습니다.
교수님이 수업 중간중간 산업 관련 이야기(주로 반도체)나 본인 경험담을 자주 이야기 하시는데 개인적으로는 많은 도움이 되었습니다"
물질 및 에너지 수지,김지현,22,Spring,5.0,"교수님이 새로 오셨는데 점잖으면서도 부드러우신 분이다. 화생공 교수님들 중 가장 위트있고 입담이 좋으시고 진로 관련해서 여러 인사이트를 주신다. 과목 특성상 중간보다 기말 난이도가 급상승하는데 중간은 중간값보다 높게 기말은 중간값보다 낮게 받아 비제면 343에 맞춰 주신거 같다. -화생공 학점 옛날엔 드미포 235 지금은 343을 지향하나 아직 일부 과목은 교수님에 따라 2.5 3.5 4인 과목도 있는것 같다-
강의 중간중간 미국시절 이야기나 반도체 관련 얘기를 해주는데 큰 도움이 된다. 판서를 이따금 활용하시고 모르는거 질문해도 다 받아주신다. 어차피 전필에 가까운 전선이라 한번쯤 듣는걸 추천한다."
에너지자원열역학,강진수,23,Spring,2.0,"객관적으로, “수업”만을 생각하면 나쁘진 않습니다. 배경지식이 없다면 어려울 순 있지만, 교수님도 이해정도를 계속 물어보시면서 수업을 진행하십니다.
다만, 교수님이 이상한 포인트에서 혼자 열폭하실 때가 있습니다. 그냥 그려러니 하고 넘어갔지만, 말로만 하는 것을 넘어 이로 인해 굉장히 심한 피해를 본 학생이 존재합니다. 밑에 댓글은 어떤 일이 있었는지 자세히 알지 못하는 것 같습니다. 더군다나 무슨 시험못봐서 교수님 욕하는것처럼 적어놓으셨는데, 정말 무슨 일이 있었는지 전혀 알지 못하는 상황인것 같습니다.
수업자체는 무난하지만, 정말 엄청난 고집으로 이상한 지점에서 진노하시기 때문에 교수님 눈 밖에 나면 논리적이나 이성적인 판단 없이 ㅈ댈 가능성이 있다는 점을 알아두세요."
에너지자원열역학,강진수,23,Spring,2.0,다른건 모르겠고 막판에 급하게 나갈거면 그냥 휴강때 녹강이라도 올려줬으면 좋겠음. 무슨 신념이신진 몰라도 그냥 녹강올리고 pdf도 비밀번호 해제해서 올리면 번거로움도 없을듯
에너지자원열역학,강진수,23,Spring,4.0,"1) 배경 지식
화학 베이스가 필요합니다. 서울대학교 교양 과학 과목인 화학 1, 화학 2 (특히 열역학 부분이 있는 화학 2)를 먼저 들으면 좋습니다. 기초 화학 베이스가 없으면 따라가기 힘든 건 맞습니다. 시험 유형이 식을 유도하는 과정이 꽤나 있어 화학 1, 2를 수강하지 않았더라도 식 유도 과정을 외워 좋은 성적을 얻는 경우도 있었습니다만, 전반적인 내용을 이해하며 수업을 듣기 힘들 수 있습니다.

2) 수업 진행
출석은 교수님께서 부르십니다. 수업 ppt 및 진행은 영어이나 간간히 이해를 위해 한국어를 섞어가며 설명해주십니다. 그러나 수업시간에 처음 내용을 접하고 이해를 하기엔 버겁습니다. 이후, 시험기간이 임박해지면 교수님께서 진도를 나가시느라 더욱 이해하기 어려워 질 것입니다. 첫 수업을 들어보고 ‘이거 좀 안되겠는데?’ 싶으시면 한국어 교재를 미리 구매하셔서 내용을 읽어보시면 도움이 됩니다. (실제로 한국어 교재가 친절하게 나와 있습니다.) 교수님께서 수업 중간 중간 질문을 하시기도 하고, 학생이 하는 질문에 대해 잘 받아주시는 편입니다. 질문에 대답을 한 학생에 대해 크레딧을 주시겠다고 언급하시는데 어떻게 작용할지 아직 잘 모르겠습니다. 

3) 시험 유형
시험 기간과 범위는 교수님께 가급적 자주 물어보십시오. 엄격하신 성격이시나 기간과 범위에 대해서는 한없이 융통성 가득이십니다. 강의가 어려운건 교과목의 특성이니 학생의 입장으로써 비판하는 것은 찡찡대는 것에 불과하지만, 이 점에 대해서는 개선의 필요성을 느낍니다. 교수님께서 언급하신 것처럼 시험 보기 2주 전에 시험 날짜와 범위가 책정되면 더욱 학습하기 좋을 것 같습니다.
시험은 이론적인 부분에 대한 유도와, 이를 이용한 응용 문제의 유형으로 구성되어 있습니다. 아래 강의 평에서 ppt와 문제가 거리가 상당하다는데, 이 의견은 동의하지 못하겠습니다. 중간의 경우 ppt 식 유도만 알아도 q2 넘습니다. 교수님께서 추천하시는 시험 공부법은 강의 교재 연습문제를 풀어보는 것인데 실제로 연습문제가 잘 구성되어 있습니다. 아래 평가에서 언급하신 과제 역시 이 연습문제의 일부이니 연습문제를 학습함으로써 수업과 시험의 충분한 연계가 된다고 생각합니다.

전반적인 열역학적 소양을 쌓을 수 있는 강의이며, 중간 중간 생각해볼만한 질문도 들을 수 있어 1학기 동안 흥미롭게 잘 들었습니다."
에너지자원열역학,강진수,23,Spring,5.0,다른 평은 모르겠고 교수님 성격 운운하는 사람은 당장 본인부터 교수님 순하다고 우숩게 본 거 아닌가 싶네? 본인 노력이 부족한 걸 교수님 탓하고 선넘고 그러진 맙시다ㅎㅎ 강의 듣는 데에 있어 어려웠던 점만 이야기하자고요~
에너지자원열역학,강진수,23,Spring,5.0,쇼미더머니 이호정 PD 선정 ‘올해의 명강의 1위’
에너지자원열역학,강진수,23,Spring,1.0,"쉴때 안 쉬고 안 쉴때 쉬고 
진도 나가야될 때 딴소리하고 진도 밀리고 
마지막 시간에 랩하시는 줄 ㅋㅋㅋ"
에너지자원열역학,강진수,23,Spring,1.0,"화학 베이스 없이 들으시면 매우매우 힘듭니다. 시험도 수업시간엔 연습문제와 유사하게 내실 것처럼 말씀하시지만, 강의 피피티를 이해해도, 연습문제를 풀어봐도, 시험문제들과는 거리가 상당합니다. 작년엔 연계될 과제가 있었다는데 올해에는 과제도 없었어서, 수업시간엔 일체의 문제풀이도 없이 이론 수업만 진행됩니다,,아무쪼록 베이스를 쌓고 오시는걸 추전드려요,,"
에너지자원열역학,강진수,23,Spring,1.0,기초적인 화학 베이스가 없다면 기초 화학 베이스를 쌓고 들으시길 추천드립니다 PPT가 영어로 써져있고 PPT를 읽으시며 수업을 진행하시는데 PPT만 보며 시험공부를 하기엔 매우 힘듭니다
에너지자원열역학,강진수,23,Spring,1.0,"전공이 아니라면 절대 듣지않길 추천드립니다.
수업은 영어로 진행되며 책내용 복붙한 ppt 그대로 읽어주시고 성격은 또 겉으로 보기와는 달리 고집불통에 자존심이 세셔서 여러모로 참 까다로운 수업..
시험 당일까지 진도 나가고 그 진도까지 시험범위인 것도 참 쉽지 않네요."
에너지자원열역학,강진수,23,Spring,1.0,Ppt만 읽으시고 시험범위 시험날짜 정하는게 너무 늦어요 ㅠㅠ
에너지자원열역학,강진수,22,Spring,4.0,화학 베이스 거의 없어서 따라가다가 다리 찢어질뻔.. 개인적으로 너무 어려웠지만 시험은 수업내용보단 그나마 쉽고 과제 연계도 어느정도 약속해주셔서 중간기말 둘다 q2정도 받았고 b0. 과제 중에 '이건 안나오겠지? 안중요하겠지?'에서 연계 꽤 돼서 과제 잘 보시는거 추천
에너지자원열역학,강진수,22,Spring,4.0,강의를 점점 대충하는 느낌이 들긴 함. 나중에는 피피티만 읽으시고 내용도 원서 복붙이었음. 그래도 기본적으로 질문도 잘 받아주시고 수업 분위기도 좋아서 부담은 없음. 피피티 위주로 공부하면 될듯
에너지자원공학의 이해,송재준,23,Spring,5.0,"아침 수업인 점만 제외하면 좋은 과목!
(금공강 못 만들어서 좀 그렇긴 해요)

교수님들 연구실 분야 알게 되서 유익하긴 했어요
과제는 수업 들으면서 그때 그때 해도 충분해요
(따로 시간내려면 귀찮아요)"
고급에너지경제학연구,오대균,23,Winter,3.0,혹시 에너지기후변화정책 강의평 찾는 분들이 계실까하여 적습니다. 내용이 거의 없어요. 재미도 없고 교수님 강의력도 별로고 성적도 끊어주십니다. 남은 게 없는 느낌... 장점은 오직 줌으로 수업한다는 것
에너지환경기술경영,오선아,21,Fall,5.0,전체적으로 할 게 많았습니다. 특히 열심히 하려하면 정말 한학기에 노력의 비중을 크게 들여야하는 과목인 것 같습니다. 그래도 학점은 잘 주십니다.
에너지자원공학개론,최종근,21,Fall,1.0,"솔직히 공부 안하고 씨쁠받았다
근데 공부할 생각이 안 든다"
에너지자원공학개론,최종근,21,Fall,3.0,"시험을 한번 보기 때문에 당연히 전범위일 수 밖에 없는데, 세미나식 강의 특성상 한 수업당 평균 70페이지의 슬라이드 분량이기 때문에 합산하면 기말범위가 약 1000페이지 남짓이다. 디테일한 내용들을 다 빼더라도 외울게 상당하지만, 디테일한 내용들을 무조건 버리라고 할 수도 없는 것이, 너무나 디테일한 곳에서도 시험문제가 나오기 때문이다!

특히 가장 어이없는 건 통계치를 모조리 외우라는 것이다. 교수님께서 강의 중 수도 없이 예고하셨지만, 이렇게 통계치 묻는 문제가 노골적으로 나오리라곤 상상도 못했다. 특히 석유/천연가스의 매장량/생산량/수출량/수입량/소비량의 10(2x5)가지 항목에 대해 top3 국가를 모조리 적어야 하는 문제가 가히 충격적이었다. 즉 30개 국가를 외우고 있어야 한다는 건데, 뭐 이걸 다 안다고 해서 대체 어떤 이점이 있는지 난 아직도 잘 모르겠다. 심지어 '이 30개 국가가 시험에 나오니 그대로 외우세요'라고 한 것도 아니고, 그냥 '통계자료에서도 시험 많이 나옵니다' 라고 했는데, 자료에 보면 석유/가스의 매장량/수출량 등 뿐만 아니라 1차에너지 총 소비량 등 별의별 항목의 통계가 1위부터 5위까지 나열돼 있다. 그냥 이걸 통째로 외우라는 것이다. 

필자는 이걸 외우면서 대체 이런걸 왜 문제로 내는지 이해할 수 없었다. 교수님께서는 그 이유를 다음과 같이 말씀하셨다: 만약 주변에서 물어볼때 이걸 대답해주면 역시 서울대생이라는 소리를 들을 수 있다! 그런데, 가만히 생각해보자. 혹시 살면서 '전세계에서 천연가스가 두 번째로 많이 매장되어 있는 나라는?'과 같은 질문을 받아본적이 있는가? 지난 2x년동안 그런 질문을 받아본 적이 없다면, 이와 같이 매년 바뀌는 통계치를 외운다고 해서 과연 향후 1년 내에 그 질문을 받을 가능성은 얼마나 될까? 더 나아가 인터넷으로 검색하면 20초안에 나오는 것을 굳이 나한테 물어보는 일이 과연 얼마나 될 것이며, 그걸 모른다고 해서 대체 나에게 어떤 불이익이 있을까? 마지막으로 그걸 누가 물어보더라도, 내가 그냥 인터넷으로 검색해서 알려줘도 될 것들이다. 그런데 내가 왜 그걸 외우고 있어야 하는가? 난 그냥 도무지 이해를 할 수가 없었다.

뭐 조금 쎄게 언급을 하긴 했으나, 그렇다고 해서 많이 쫄지는 말자. 다들 다 못(안) 외우고 시험치기 때문에 평균은 처참하다. 시간을 들이는 만큼 더 많이 외울 수 있기에 성적은 더 잘 나온다. 다만 시간 투자 대비 성적 효율이 떨어질 뿐..

필자도 정말 욕하면서 공부하고 외웠다. 그 결과 A+을 받았지만, 시험 이주일 뒤인 현재 내 머릿속엔 남아있는 것은 탄소중립 단 하나뿐이다. 대체 뭘 배웠는지조차 잘 모르겠고, 인생에 어떤 도움이 됐는지 잘 모르겠다. 그냥 공학개론 하나 치운 셈 쳤을 뿐이다. 에너지자원공학에 관심도 하나도 없고 그냥 공학개론 치우려는 목적으로 들었던 수업이기에 더더욱 시간만 날린 것 같다.

공대 몇몇 학과들의 졸업요건으로써 공학개론 수강은 그 취지는 좋으나, 치명적인 약점이 있다. 그건 바로 공학개론을 가르치는 교수님들은 항상 타과생들을 가르친다는 것이다. 때문에 그냥 대충 가르치시는 것 같다. 피해의식인 것 같지만, 그냥 이 생각이 들 정도로 이상한 수업이었음을 알아줬으면 한다.

이쯤되니 별의별 생각이 다 드는데, 그냥 필자가 하고 싶은 메세지는 다 전달된 것 같으니 이만 줄이겠다. 결론적으로 절대절대절대 추천하고 싶지 않은 강의이다."
에너지자원공학개론,최종근,21,Fall,2.0,"""천연가스 매장량 4위는 투르크메니스탄으로, 연간 14조m^3를 생산한다""를 알아야 풀 수 있는 시험 문제는 왜 나올까요... 1년마다 바뀌는 수치를... 매장/생산/수입/수출/사용량 표가 시험에 나올 것이라고 미리 예고는 하셨지만, 공부를 하면서도 이런걸 왜 알아야하나 싶었네요. 
그런데 공부라도 하면 학점을 잘 주냐? 시험 과제 출석 합쳐서 상위 21퍼 정도 했는데 A- 받았습니다^^ 전공도 아닌데 이렇게까지..?
또 교수님께서 어려운건 빨리 가르치고 쉬운건 미친듯이 늘어지게 가르치십니다. 고등학교 수준을 벗어나지 않는 평균, 분산, 정규분포, 가설검정은 2시간 반 동안 설명하시더니, 라그랑주 승수법으로 보간 계수 행렬 계산하는 이론은 10분컷...
3학점 강의치고 과제는 적습니다. 그날 배운 내용을 10문장으로 적는 과제만 매주 있습니다. 유일한 장점이네요.
그리고 제가 환경에 관심이 좀 있어서 내용 자체는 재미있었습니다. 그래도 졸업 요건을 위해 치우는 용도로는 괜찮은데, 그게 아니라면 굳이...?"
물질 및 에너지 수지,김소연,22,Spring,4.0,"중간 83/100, 기말 53/100 나왔습니다
A- 기대했는데 B+이네요
슾러요 ㅠㅜ"
물질 및 에너지 수지,김소연,22,Spring,4.0,"수업은 반은 줌, 반은 대면강의였습니다.
교수님 강의력은 기본적으로는 좋으신거 같은데 가끔 영어로 혼잣말하는거 같을 때가 있습니다. 전 분명 영어 듣기는 자신있다고 생각하는데 뭔가 들어보면 약간 정돈된 박근혜 화법을 영어로 하신다 생각하시면 됩니다. 그래도 수업 내용 알아먹을 정도는 됩니다.
시험은 타임어택 느낌이 강합니다.
 중간때는 그래도 내용이 거의 없어서 공부 안하고도 Z=1 부근이 나왔는데 (성적을 표준편차랑 평균만 알려주십니다). 기말때도 비슷하게 될 줄 알고 공부 한두시간 하고 들어갔더니 시험점수가 반갈죽당했습니다. 다행히 평균도 반갈죽당해서 B+ 나왔네요. 아마 343 111 같습니다.
교수님이 수업때 자기소개를 시키는데 저는 I라서 조금 힘들었네요. 그래서 1점 빼고 4점 드립니다"
물질 및 에너지 수지,김소연,22,Spring,5.0,잘가르쳐주시고 시험난이도도 적당합니다. 물질에너지 및 수지 과목이 공생 공정파트와 유사해서 정량적인 계산을 잘하는 사람에게 유리해요
물질 및 에너지 수지,김소연,21,Spring,5.0,"아래분이 자세하게 설명해드린 것 같네요 
수업은 무난무난 했던거같고, 과제는 점수를 매기시지 않고 매우 잘함, 잘함, 보통 이런 식으로만 채점하셔서 부담이 없습니다 성의만 보이면 될거같아요 
중간고사는 수업 극초반에 다룬 쓸데없는 내용은 그냥 넘기면서 공부했더니 허를 찌르며 객관식으로 나왔습니다 중후반부 문제는 일반적인 계산 문제였습니다 난이도는 그저그랬습니다
기말고사는 중간고사와는 달리  매우 어려웠고, 증명문제도 두문제 이상? 나왔습니다 
저는 시험 둘 다 평균값 몇점 이하였는데 B+ 받았습니다 
올해 처음 부임하신 교수님이라 그런진 모르겠지만 학점을 정말 잘주셔서 공부했던 모든 것들이 미화되었습니다.."
물질 및 에너지 수지,김소연,21,Spring,5.0,"-작성자
취득 학점 52, 전체 평점 3.66, 전공 평점 3.5
이번 학기 18학점(전공 15 + 공학수학1)
물질 및 에너지 수지 A0

-수업
Zoom으로 진행되었으며 캠 필수였습니다. 출석의 경우 온라인 스프레드시트로 진행되었으며, 수업 시작 후 링크 올려주시면 저희가 직접 체크하는 방식이었습니다. 수업 내용은 강의계획서를 보시면 알겠지만 화학공정입문 느낌입니다. 그렇게까지 어려운 내용은 아니며, 교수님께서 하나하나 자세히 설명해주시고 넘어갑니다. 그리고 수업 중 질문을 자주 하시는데 이때 답하면 추가 점수를 받을 수 있습니다만 성적에 유의미한 변화가 있을 것 같진 않습니다. 가끔 교수님께서 일이 있으시면 녹강으로 대체됩니다. 그리고 코딩을 할 줄 몰라도 괜찮습니다. 수업 중 코딩이 쓰인 적은 없는 것 같습니다. 물론 과제 풀 때 원한다면 코딩해서 제출도 가능했습니다. 

-시험 
모두 손풀이가 가능한 정도로 나왔으며 공학용 계산기는 지참이 가능했습니다.

중간고사 (100점 만점, 76.6점 받음)
평균 : 65.53, 중앙값 : 71.00, 표준편차 : 20.69
이것도 외웠어야 해,,? 하는 문제 조금 있었음.
DoF 분석 연습을 많이 해놓길 바람.
킬러 문항은 없었음.

기말고사 (120점 만점, 99점 받음)
평균 : 55.00, 중앙값 : 57.00, 표준편차 : 30.11
중간과는 완전히 출제 기조가 달라짐.
하나하나가 모두 킬러였달까,,
수업 중 배운 공식들 증명 과정을 한 번씩 연습해놓으면 좋을듯함.

-과제
Regina M. Murphy의 Introduction to Chemical Processes 교재에 있는 문제들이 과제로 나옵니다. 참고로 해당 책은 이미 절판되어 구하기 힘드니 PDF를 구하시거나 선배님들께 한 번 여쭤보시기 바랍니다. 저는 책 구한 다음 스캔해서 썼습니다.

- 성적
앞서 시험 정보를 보면 제 시험 점수가 있지요. 저 점수 대에 A0를 받은 것을 보면 화생공치고는 후하게 주시는 것 같습니다. 그리고 교수님께서 이번에 서울대에 새로 오신 분이셔서 그런지 되게 잘 주신 것 같달까요.."
에너지시스템재료 특론,이유호,23,Fall,3.0,강의력이뛰어나시고시험이어려워요수업하시다가잡담으로빠지는일이많으신데그래서진도못나갔더니빼주셨어요만점맞은문제가거의없는데물어보니까다들그런점수받은것같아요모범답안이나감점사유는안알려주셨지만시험지는다돌려주셨어요
