초급러시아어 1,윤서현,23,Spring,4.0,"교수님께서도 친절하시고 잘 가르치심. 개인적으로 만족스러운 강의였음. 다만, 러시아어에 관심이 없다면 아에 듣지 않는 것을 추천. 러시아어 자체가 복잡하고 어려움."
초급러시아어 1,이주홍,23,Summer,5.0,"교수님들은 이미 다른 분들께서 남기셨듯 너무 좋은 분들이십니다. 러시아에 별 관심이 없는 상태로 외국어 이수 졸업조건과 시간대만 보고 고른 강의인데 언어 파트는 물론이고 흥미로운 문화까지도 잘 알려주시고 설명해주셔서 덕분에 러시아라는
나라 자체에 관심을 갖게 됐다는 점에서 많은 걸 얻어간다고 느꼈습니다.
과제는 교재 문제를 일부 풀어오는 정도인데 성적에 반영되지 않아 학습 내용을 점검하는 데 좋았습니다.
성적은 점수를 모르지만
중간: 객관적으로 망치고(빈칸 못 채운 것 많음) 드랍 고민
기말: 중간보다는 나았지만 잘 못 봐서 학점 포기함
이런 제가 에제 받았습니다.
교수님께서 이번 여름학기는 다른 때에 비해서 드랍자 수가 적다고 말씀하셨는데도 후한 성적을 받은 걸 보면 제겐 명강+꿀강이라고밖에 생각되지 않네요…
러시아 문화를 좋아하시는 분들은 말할 것도 없고 관심 없으셨던 분들도 수강해보시면 저처럼 강의 이후에 러시아어에 애정을 갖게 되실지도 몰라요!! 추천합니다"
초급러시아어 1,이주홍,23,Summer,5.0,"초급러시어어 자체의 난이도가 꽤 있음
교수님들 잘 가르쳐 주심
시험에 뭐 나오는지 친절하게 알려주심
배운게 많아보여도 시험에 다 나오지 않음
중간고사 망하고 기말 조금 못 봤는데 A-나옴"
초급러시아어 1,이주홍,23,Summer,5.0,"학점 굉장히 잘 주시는 것 같습니다. 중간때 실수를 많이 했는데 A+를 받았습니다. 시험 전에 나눠주시는 자료 달달 외우면 시험은 다 맞을 수 있었을 것 같습니다.
암기량은 초급한문 이런거에 비해 2배정도 많을 것 같습니다.
러시아 문화도 함께 배울 수 있어서 너무 좋았고 수업 자체가 타이트하지 않고 재밌었습니다."
초급러시아어 1,이주홍,23,Summer,5.0,"Я люблю 주홍 и 종현

시험 중간 기말 랩수업
전부 편하고 쉬웠습니다.
중간고사까진 이주홍 교수님께서, 수업 마무리까진 이종현 교수님께서 진행해주셨습니다.
러시아어가 궁금하다? 이 수업만 들으시면 됩니다.

교수님들도 상당히 재미있으신 분들이셔서 수업시간에 졸 일 제로 고로 당신이 초급 러시아어1의 마스터가 될 가능성도 원 헌드레드 퍼센트입니다.

당장 수강신청하도록 하세요 이 명강이 계절에 장바구니 확정이 되었다는 것은 서울대생으로서 무엇인가 심히 잘못하고 있는 것입니다 무조건 들으세요"
초급러시아어 1,이주홍,23,Spring,5.0,"3시간 내내 거의 문서로만 계속 설명하셔서 집중하기 많이 힘들었지만 로드도 적고 시험 형식도 정해져 있어서 이번 학기에 제일 힐링했던 수업이에요. 그리고 동양 미학에 대해 조금이라도 관심있으신 분들에게는 완전 추천하는 수업입니다.

팁을 좀 드리자면 제일 처음에 의경에 관해서 말씀하시는데 꼭 잘 들어놓으세요. 기말고사에서 의경과 연관해 여러가지 미학 범주에 대해 서술하라고 하는데 의경에 대해서 잘 모르면 나중에 공부하기 조금 힘들수도 있습니다."
초급러시아어 1,이주홍,23,Spring,5.0,다른 강의평에서도 계속 나온 말이지만 교수님 인품이 정말 좋으세요. 수업에서 배우는 것 외적으로도 교수님이 학생들을 잘 이끌어나가려고 하는게 눈에 보였고 그만큼 얻어가는 것도 많았습니다. 수업을 몇번 빠졌는데도 시험을 잘 본건지 원래 성적에 너그러운건지 에이쁠 주셨습니다
초급러시아어 1,이주홍,23,Spring,5.0,"갓주홍!! 언어는 악마지만 교수님은 천사신게 분명합니다.
노어노문과 전공 학생들이 많기도 했고, 드랍자도 별로 없었지만... 기말도 다들 열심히 쳐서 놀랐지만...
제 성적을 보고 그저 박수만 나왔습니다.

언어를 공부하기 위한 수업이었지만, 러시아라는 나라의 문화도 그리고 그 언어의 배경도 그 모든걸 배워갈 수 있는 진짜 교양강의라고 생각합니다.

그리고 교수님께서 학생 하나하나에게 정말 신경을 많이 쓰시는게 느껴집니다. 출석도 처음에만 부르시고 나중에는 학생 얼굴을 다 아시더라구요!"
초급러시아어 1,이주홍,23,Spring,5.0,차르주홍 교수님의 명성이 너무 포진 나머지 이젠 노어노문과 전공생들이 많아졌고 드랍자도 적어져 상대적으로 에쁠을 받긴 힘들어 졌습니다. 하지만 로드가 많이 늘어났다해도 굉장히 적은 편입니다. 그리고 러시아어가 어렵지만 교수님이 원리적으로 설명을 잘해주셔서 그 내용을 이해하시고 추가로 익숙햐지는 연습만 하시면 할만 합니다. 여러분이 노력하신다면 충분히 좋은점수 받아가실수 있습니다. 그리고 교수님이 정말 좋으신 분입니다. 한학기동안 정말 재미있게 러시아어를 배워갑니다^^
초급러시아어 1,이주홍,23,Spring,5.0,"한 번 드랍하고 이번학기에 다시 들은 사람입니다. 그저 빛이십니다. 설명도 최대한 학생들이 단순 암기보다는 이해하고 적용할 수 있도록 도와주시고, 직접 만드신 암기 방법까지 공유해주십니다. 러시아 문화를 배울 수 있는 건 물론이고 퀴즈와 시험 모두 충분히 대비할 수 있도록 배려해주세요. 저는 따로 메일로 여쭤보지는 않았어서 중간 성적밖에 모르긴 하지만 대충 다 잘 봤던 것 같고, 에이쁠 받아갑니다. 그렇지만 정말 교수자의 중요성을 다시금 깨달았던 강의에요. 처음 들으시는 분들도 알파벳 정도만 외우고 시작하시면 훨씬 편하게 스타트 끊으실 수 있을 것 같습니다:)"
초급러시아어 1,이주홍,22,Summer,5.0,"이전에 에타에 쓴 후기글 복붙합니다. 
한줄평: 왜 초러는 장바구니 확정되는 강의인가. 1픽이 됨이 옳다.

수업은 문법 위주의 이론 수업과 회화 중심의 랩 수업으로 구성됩니다. 이론 수업은 한국인 교수님이 하시고 랩 수업은 원어민 교수님이 맡으십니다. 저는 여름 계절이어서 첫 2주는 이주홍 교수님, 뒤 2주는 김민아 교수님이 수업해주셨는데 2학기는 정규 학기라 이주홍 교수님이 처음부터 끝까지 수업해주실 거예요. 하지만 이주홍 교수님이 한 학기 내내 가르쳐주신다? 오히려 좋아. 초급 러시아어가 기초 러시아어가 되는 기적을 보여드리겠습니다. 
초반부는 알파벳, 성, 복수형, 전치격 등등을 배우고 전치격을 제외한 본격적인 격변화는 중간고사 이후에 배웁니다. 하지만 그렇게 어렵게 배우지 않아요. 연습문제 풀면서 따라가시면 충분히 잘 보실 수 있어요. 저는 후반부 수업에서 연습문제도 거의 못 풀고, 으악 아는 것들 모르는 것들이 막 자기들끼리 섞이고 있다. 혼란하다 혼란해! 상태로 봤는데도 어떻게든 답지를 채우기는 했으니(그래서 맞았는지는 모름ㅎ) 진짜 수업만 잘 듣고 연습문제만 꾸준히 풀고 이해만 하시면 정말정말 잘 보실 수 있을 거예요. 
게다가 킹갓제네럴짜르주홍께서는 시험에 나오는 단어를 알려주십니다...그것도 고작 a4용지 두어 장에 정리하여 주십니다! 게다가! 중간고사 때는 시험문제까지 미리 나눠주셨습니다. 거기서 단어만 달라진다고 보시면 돼요. 그리고 여기서 끝이 아니고! 카톡으로 질문도 받아주십니다. 실시간 질의응답 가능. 질문도 정말정말 친절하게 받아주시고 답도 엄청 빠르게 해주세요. 
저는 여기까지 듣고 그만...정신을 잃고 말았습니다...다시 깨어서 고개를 드니, 네? 교수님이 어디 계신다는 거죠? 빛밖에 안 보이는데요..??
러시아어 문법 복잡하고 단어 외우는 것도 어렵지만, 교수님께서 최대한 학생 부담을 줄여주시니 정말 이정도면 로드가 '적다'고 할 수 있는 수준이라 생각합니다.
이렇게 문법만 배워도 나름대로 즐겁겠지만, 초러1은 러시아어만 배우지 않습니다. 러시아 문화도 함께 배워요. 시험에 나오지 않으니 쉬어가는 느낌으로 흥미롭게 교양을 쌓아보세요. 러시아의 언어, 그림, 음악, 그리고 모스크바 국립 대학교의 기숙사에 냉장고가 필요없는 이유에 대한 다양하고 흥미로운 지식들이 당신을 기다리고 있습니다. 시청각 자료도 함께 준비되어있습니다. 심지어 수업 자료로 직접 그린 이콘(정교회에서 그리는 성화)도 갖고 와주세요. 여러분 이콘은 진짜 금박을 얇게 펴서 반짝반짝하게 붙이는 것 아시나요? 금을 직접 만져보세요! 부드러움.
그리고 수업 마지막에는 교수님이 가곡도 불러주심. 잘 부르세요. 저희는 코로나라 못 먹었지만 러시아 빵과 버터도 나눠주신대요. 코로나가 빨리 나아져서 이번 겨울엔 여러분이 버터 바른 빵을 먹으며 종강하신다면 좋겠습니다.

랩 수업의 경우 분반이 두 개인데 저는 바딤 교수님 반이었어요. 원어민 교수님들께서는 첫 만남부터 러시아어만 사용하십니다. 물론 학생들은 전혀 못 알아듣지만 어떻게든 의사소통이 이뤄지긴 합니다. 다행히 중요한 내용이나 공지는 영어를 사용하셔서 이해에 무리는 없어요. 그런데 사실 한국어 엄청 잘하시는 듯. 교수님 가로되: 나보다 한국말을 잘한다.
문화 부분도 여러모로 잘 아시는 듯해요. 칠판에 학생들 이름을 쓰시려다가 붉은 분필밖에 없는 것을 보고 앗! 하신 다음 다른 교실 가서 흰 분필 들고 오심. 
시험은 교수님이 질문하고 그에 대해 러시아어로 답하는 핑퐁 형식인데, 저희 같은 경우는 주제 두 개를 미리 알려주셨습니다. 그리고 시험 날 현장에서 뽑기로 두 주제 중 하나를 뽑아서 시험 봤어요. 
주제는 1. 우리 가족 소개 2. 우리 학교 소개였는데 미리 말할 내용 써서 외워가시면 좋을 듯. 그리고 문제 뽑은 다음 시험 보기 직전에 10분 정도 컨닝페이퍼 작성할 시간을 주십니다. 거기 와다다다 옮겨넣고 시험보면 짱 좋을 듯. 
랩 점수는 너무 걱정 안 하셔도 될 듯해요. 교수님 말씀 들어보면 대체로 너그럽게 부여하시는 듯합니다. 

성적 또한 매우 잘 주십니다. 일단 드포예요. 드포인 것이 왜 중요하냐. 특히 A 비율이 50%인 초급러시아어가 드포라는 것이 왜 몹시도 개이득인가. 그것은 러시아어가 어렵기 때문입니다. 와 러시아어 아시는구나! 엄.청 복.잡.합.니.다. 알파벳부터 익숙하지 않은데 문법은 당장에라도 과거로 날아가 키릴형제의 멱살을 부여잡고 싶을 정도로 복잡합니다. 사실 키릴형제가 문법을 만든 건 아니지만 어쨌든 어렵습니다. 아니 대체 왜 단어에 성별을 부여하는 것이며, 주격 단어의 성별마다 그를 수식하는 단어들의 형태를 달리하는 것이며, 아니 왜 격은 또 그렇게 많은지 도대체 이해가 가지 않고, 완료형과 비완료형은 또 왜 만들어 사용하는지 정말 모르겠지만 그 덕분에 20명 중 5-7명은 드랍자가 되어 떠날 거예요. 그리고 1-2명은 성적 따위에 연연하지 않는 사나이들이라고 가정한다면, 대충 확률상, 최하위만 면한 상태로 살아만 있으면! A는 당신을 위한 알파벳!! 
너새니얼 호손의 명작 주홍글씨에서 주홍색 A의 뜻이 무엇인지 아시나요? able? angel? 아닙니다! 주홍색 A는 바로 이주홍 교수님이 부여하시는 A학점을 뜻하는 것입니다 여러분!! 시험을 엄청 못 본 거 같은 제가 에제를 받았으므로 이는 증명되었습니다. 그러므로 이주홍 교수님의 초급 러시아어가 꿀명강이라는 것은 어떻다? 자명하다.
수업과 교수님, 성적까지 모두 완벽한 초급 외국어 강의. 그것은 단언컨대 초러1입니다.
사실 떠난 드랍자들도 훗날 연어처럼 돌아오시면 저번보다 훨씬 이해가 쉬운 마법을 경험하실 수 있어요. 제가 그랬음. 참고로 말하자면 계절에 열리는 초러1은 이주홍 교수님 성함으로 열릴 때도 있고 김민아 교수님 성함으로 열릴 때도 있는 것 같은데 반반 나눠 맡으시니 둘 다 내용은 같을 거예요.

쓰다보니 너무 길어졌는데...하여간 좋은 수업이니 초급 외국어를 찾아 방황하는 관악인들을 위한 안내서 느낌으로...읽어주시면 스파씨바..."
초급러시아어 1,이주홍,22,Fall,5.0,"과제 있긴하나 필수 아닙니다. 수업때 성적엔 안들어간다고 말씀해주시고 저도 절반은 안냈는데 에쁠임. 피드백 잘 주시니까 그래도 왠만하면 하시는게 좋긴 해요. 노래도 불러주시고, 이콘도 직접 보여주시고, 마지막엔 러시아 흑빵도 먹으며 문화도 간접적으로 체험이 가능합니다. 인생을 어떻게 살아야하나를 러시아에서 찾았다는 이야기를 하시며 썰 푸시는 것도 좋았고 여러모로 대탄하면서도 멘토로 삼고싶은 교수님이십니다. 단어시험 2번, 랩수업, 중간기말이 평가 기준입니다. 랩수업 원어민 선생님도 무척 친절하시며 전 원어민 시간이 너무 좋았습니다. 러시아어가 좀 어렵긴한데, 의외로 한국어랑의 공통점이나 영어랑의 공통점이 조금씩 있어서 완전 외계어 배우는 수준까진 아니었습니다. 아무튼 외국어를 이 수업으로 들은 건 후회없는 선택이었어요. 강추!"
초급러시아어 1,이주홍,22,Fall,5.0,"아래 강의평들 틀린 말 하나 없음
교수님 너무 너무 좋으심
과제도 가끔 교재 연습문제 풀기 정도로 내주시고(기한은 따로 없지만 보통 다음 수업 시간 전까지 제출) 중간, 기말고사 전에 시험 문제 유형도 다 알려주시고, 복습도 같이 해주셔서 공부하기 ’매우‘ 편함
중간중간 러시아 문화 관련 수업도 해주시는데 흥미롭게 들었음
러시아어 자체가 좀 어렵긴 하지만 갓주홍 교수님과 함께라면…"
초급러시아어 1,이주홍,22,Fall,5.0,5점에는 다 이유가 있다. 정말 유익한 시간이었다. A+ 낭낭하게 챙겨갑니다.
초급러시아어 1,이주홍,22,Spring,5.0,"교수님 진짜 강의력 좋으심👍👍
러시아어 솔직히 어렵긴한데 조금만 공부하면 성적도 잘 주려고 하시는 듯"
초급러시아어 1,이주홍,22,Spring,5.0,"어려운 내용과 쉬운 설명.
너그러운 학점.
좋았어요."
초급러시아어 1,이주홍,22,Spring,5.0,"내가 공부를 너무 열심히 안해서 교수님께 죄송했던 강의.

그만큼 교수님은 정말 열과 성을 다해 강의하신다.

러시아어를 배우고 싶은가? 킹갓엠페러제너럴주홍쓰의 강의를 수강하라."
초급러시아어 1,이주홍,22,Spring,5.0,갓주홍........그냥 사람이 멋있음..........
초급러시아어 1,이주홍,21,Fall,5.0,"겨울학기 수강했습니다! 이주홍교수님께서는 중간고사까지만 수업해주셨어요! 비록 2주라는 짧은 시간동안 비대면으로 뵈었지만 정말 좋은 분이라는 걸 알 수 있었습니다! 솔직히 교수님 아니었으면 드랍했을 것 같아요 ..
30명 정원 수업이었는데 정신 차려보니 10명 남았더라구요 ㅋㅋ 저도 드랍할까 했지만 교수님께서 러시아문화와 언어를 진심으로 사랑하고 계신다는 게 느껴져서, 그 사랑에 압도?되어서 홀린듯이 공부했던 거 같습니다 ㅋㅋㅋ
시험에서 뭐가 나올지도 대부분 알려주시고, 질문 피드백도 정말 잘해주시고 수업도 너무 재밌습니다!!!ㅎㅎ 초노 들으실 분들은 꼭 이주홍 교수님 수업 들으세요 ㅎㅎ"
초급러시아어 1,이주홍,21,Fall,5.0,"교수님이 되게 좋은신 분이고, 수업도 정말 잘해주십니다. 대면수업했는데, 강의실 밖에서 만났을때도 먼저 인사해주신 것보고 정말 신기했어요 그정도로 한학기 듣는 수강생들한테도 신경써주시는 것 같아요. 시험도 시험 전에 어떤 문제 나오는지 알려주시고, 시험문제도 그렇게 어려운 문제도 안나와서 배운거라고는 정규교육에서 영어밖에 배운 적 없는 기영출신 이과생인데도 불구하고 수업을 따라가는데 어려움이 없었어요 당연히 학점도 잘주셨고요. 성적은 이번학기는 절평으로 주셨는데, 다음학기부터 대면을 하게 되면, 학교 규저에 따라 A50%'밖에' 못준다고 말씀하셨어요, 그러니까 항상 학점도 잘주시려고 노력하시는 것 같아요. 러시아어에 대해서 관심있으면, 노베라도 충분히 들을만 한 것같아요. 막썰릴까봐 이런거는 없는 것 같아요."
초급러시아어 1,이주홍,21,Fall,5.0,"그저 빛...... 수강신청 사이트 터질 때 어쩔 수 없이 자리 남아서 선택한 수업인데 2학기 최고의 수업이었음. 러시아어 자체가 생소하다는 걸 아셔서 처음에 전혀 부담없이 알파벳부터 천천히 알아갈 수 있게 수업해주시고, 시험 대비 단어장 단어만 외우고 유형 연습만 하면 좋은 점수 받을 수 있음. 중간중간 러시아 문화도 배우고 교수님 러시아 가곡 부르시는 게 진짜 멋있음..
과제는 연습문제 풀어서 제출하기 정도?
러시아어라고 고려도 안 하지 말고 꼭 들으세요 진짜"
초급러시아어 1,이주홍,21,Spring,5.0,"아니 이걸 안들으면 대체 외국어 강의를 무엇을 들으란 말인가요
학점 개조진 저에게 그저 빛같은 강의 로드 없고 중간 없고 기말만 보는데 기말은 나올거 다 알려주시고 프린트 두장만 외우면 되는 외국어 강의가 있다??"
초급러시아어 1,이주홍,21,Spring,5.0,계절학기 수강했습니다. 전반 3주차만 같이 진행해 주셨는데 과연 아깝지 않은 시간들이였습니다. 마지막 시간엔 차이코프스키가 작곡한 가곡 불러주셨는데 소름..
초급러시아어 1,이주홍,21,Spring,5.0,"교수님 진짜진짜 너무 좋아요!!항상 쉽게 가르쳐주시려고 노력하시고, 내용 너무 길어지면 중간에 러시아관련 예능클립이나 노래 틀어주십니다! 그래서 덜 지루하게 수업들을수있어요
그래도 러시아어 자체가 어려운편이라 드랍충동도 많이 들고, 시험도 못'본거 같은데 존버했더니 a+ 진짜 학점느님!!"
초급러시아어 1,이주홍,20,Fall,5.0,"감사합니다 교수님. 복 받으세요.
교수님 없었으면 전 외국어 과목을 이수하지 못했을 겁니다."
초급러시아어 1,이주홍,20,Spring,5.0,"제2외국어 수업을 이 교수님과 함께 해서 정말 행복했습니다...! 관악의 명강, 학점도 너무 잘 주셨어요. 감사합니다 교수님. ㅎㅎ"
초급러시아어 1,이주홍,19,Fall,5.0,관악에서 학점 가장 잘 주시는 분임. 공부하다가 힘들어도 힘내서 하면  나중에 만족할 것임. 러시아어 어려웠지만 졸업하기 전에 이 수업을 들어서 너무 다행이라고 생각함. 갓주홍 빛주홍... 이런 교수님들 좀 많았으면 좋겠다.
초급러시아어 1,이주홍,19,Fall,5.0,"시험 두번, 로드는 과제 5번 정도(하나하는데 10분이면 충분, 부담없음).  기본적으로 교수님이 학생을 배려하셔서 배우는 범위를 대폭 줄여주신다.(그래도 러시아어 자체가 어려워서 공부는 해야한다..) 학생 사정 잘 봐주시고 인격적으로도 매우 훌륭한 교수님이다. 시험에서 틀린거 세네개 있었는데 에쁠인거 보면 학점도 잘 주시는것같다. 믿고 들어도 된다."
초급러시아어 1,이주홍,19,Spring,5.0,이주홍 교수님 진짜 너무 좋아요ㅠㅠ!!!  러시아어 재밌게 가르쳐주실뿐만 아니라 암기하는 방법도 알려주시고 카톡으로 질문 대답해줘요. 그리고 어려운 내용 나갈 때마다 러시아어 노래를 불러주시고 마지막 날에 러시아 빵에 직접 버터를 발라 나눠주시는 등 세상 스윗합니다ㅎㅎ
초급러시아어 1,이주홍,19,Spring,5.0,"빛 주 홍..
당신은 그저 빛... 
러시아어는 어렵지만 이주홍 교수님은 좋아요"
초급러시아어 1,이주홍,19,Spring,5.0,러시아에 대한 흥미가 생길 수 밖에 없습니다! 교수님 너무 친절하게 잘 가르쳐주시고 최대한 쉽고 재밌게 가르쳐주시려고 노력하세요!
초급러시아어 1,이주홍,18,Fall,5.0,솔직히 러시아어 줠라게 어렵습니다. 꿀강 찾는다면 듣지마세요. 근데 정말 호기심이 있어서 배우는거라면 이주홍교수님 두번 세번 들으세요. 진짜 이런 갓갓참트루센세가 관악에 존재하는지 4학년 2학기에 처음 알았습니다...강의력 좋고 인간적으로 너무 올바르신 분입니다. 모르는 것 생기면 카톡으로 질문해도 받아줍니다. 갓갓이주홍교수님찬양..학점비율은 솔직히 모르겠습니다. 전 에이플 받아서..
