말하기와 토론,박현희,23,Fall,5.0,교수님 너무 좋으세요🥹 학점도 생각보다 잘 주십니다!
말하기와 토론,홍은영,22,Spring,5.0,"예과생이라 강의평 보긴 봤지만 그냥 치운다는 느낌으로 수강했는데, 강의평대로 로드가 좀 많기는 합니다. 크게 에너지 쏟을 건 딱히 없는데 자잘자잘하게 많은 느낌? 그래도 교수님도 친절하시고 그냥 다른 사람들이랑 생각을 나누고 얘기하는게 좋았습니다. 과제도 적당적당히 다 내기만 했는데 A+ 받았으니 로드가 많기는 하나 다 내기만 하면 학점은 잘 주시는 것 같습니다"
말하기와 토론,홍은영,20,Fall,4.0,"전공으로 가득찬 학기에서 그래도 좀 힐링이 됐던 강의였던 것 같아요 수업 방식 자체가 학생들의 발표와 말하기에 의존하는 경향이 크고, 교수님은 중간에서 중재해주는 느낌이라 뭔가를 많이 '배운다'는 느낌은 크게 없었지만 저는 그렇게 수업 같이 듣는 다른 분들이랑 생각 나누고, 발표하는게 좋았던 것 같습니다. 

수업은 보통 교수님이 미리 과제를 내 주시고, 수업 시간에 돌아가면서 발표하면서 교수님과 다른 수강생분들과 소통하는 방식으로 이루어집니다. 큼직한 발표 네 개(자기소개, 정보제공스피치, CEDA 토론, 공감을 주는 말하기)는 주어진 시간에 발표를 하고, 다른 학우분들과 교수님께 피드백을 받는 식으로 진행되고, 중간의 자잘자잘한 과제는 수업 시간에 자유롭게 이야기하는 식으로 진행됩니다. 저는 개인적으로 제 발표에 다른 분들 모두의 피드백을 받고 서로서로 조언을 해 주는 것이 제 발표랑 평소 말하기 습관을 돌아볼 수 있어서 좋았습니다. 보통 발표 전에 대본이나 글을 조교님 메일 혹은 다음 카페에 제출을 하고, 발표가 끝나면 교수님이 각자의 발표 녹화본을 업로드 해 주신 것에 상호 피드백 댓글을 달고, 본인 자체 피드백은 따로 제출을 합니다. 발표 전후에도 따로 과제가 좀 있다는게 조금 부담스럽기는 합니다.

과제는 상술한 큼직한 발표 네개에, 말하기 불안 요인 발표, 독서토론, 영화감상 및 토론 등 자잘자잘한 과제가 더 있습니다. 아무래도 다른 학기보다 수강생이 적다보니 개개인에 할당된 시간이 더 많아 교수님이 이것저것 많이 시키신 것 같습니다. 보통 매 과제마다 상술한 전후 과제가 있기 때문에 과제가 확실히 많다는 생각이 들긴 했습니다. 거기다 대본 등 제출해야 하는 글도 많아서 말하기와 토론+쓰기라는 느낌을 받기도 했습니다. 꿀강의를 찾으신다면 맞지 않을 수 있습니다. 평점에서 1점 내린 것도 바로 이 많은 양의 과제 때문에... 이게 주요한 불만사항이었습니다 저는..

과제가 쫌 많다는 것만 빼면 그래도 이번학기 꽤 힐링을 받은 강의였습니다. 교수님도 스윗하시고요. 대면강의였으면 다른 분들이랑 서로서로 더 친해질 수 있었을 것 같은데 비대면이라는게 많이 아쉬웠습니다. 전반적으로는 그래도 괜찮았던 강의"
말하기와 토론,홍은영,20,Fall,5.0,"나름 힐링도 하고 여유롭게 들을 수 있었던 강의.
보통은 학생수가 많지만 이번학기는 학생수가 적어서
매수업마다 말을 해야할 시간이 많지만 딱히 이런게 평가에 반영되지는 않음
매주 과제가 자잘자잘하게 있음
교수님은 나근나근?하시고 학생들 개개인 의견을 하나씩 다 들어보려 하심
아무튼 전체적으로 좋았던 강의 !!"
말하기와 토론,홍은영,20,Spring,5.0,"밑에 강의평들 대부분 예과생인듯..
교수님께서 하라고 하는 것만 성실하게 하면 에이쁠은 다 맞는 수업
그리고 예과생들 수업 많이 듣는데, 과제 참여도 낮아서 학점 따기 훨씬 수월함.
과제는 크게 5번 있는데,  토론, 정보제공스피치 말고는 전부 하루 전에 잠깐 준비하면 되는 수준
교수님 스윗하고 정이 많으심."
말하기와 토론,홍은영,20,Spring,3.0,"학점 별로 안 중요해서 시간대만 보고 신청한 강의였습니다
다른 말토수업이랑도 비교는 할 수 없고 그냥 수업 자체만으로 평가하면 사실 말하기 실력에는 별 도움이 되었는지 모르겠습니다
그러나 수업 들으면서 교수님보다는 여러 다른 분들의 조언이나 평가가 참고할 만한 것이었던 듯합니다
그래도 교수님께서 학생들한테 무성의하다고는 느껴지지는 않았습니다"
말하기와 토론,홍은영,18,Fall,1.0,"다른 말토와 비교하여 로드도 훨씬 많고 말하기, 토론 실력에 전혀 도움되지 않음. 성적 기준도  잘 모르겠음."
말하기와 토론,홍은영,18,Fall,1.0,"과제 매우 매우 매우 매우 매우 많음
조모임 매우 매우 매우 매우 매우 많음
팀플 매우 매우 매우 매우 매우 매우 매우 많음
노력에 비해 성적 장담 불가
씨폭격기"
말하기와 토론,홍은영,18,Spring,5.0,"우선 교수님이 너무 좋아요ㅠㅠ 뭔가 내공이 엄청 많아 보이시고 꼼꼼하게 말하기에 대한 피드백을 해 주시면서도 따뜻하게 코멘트 해 주십니다. 또 수업 중에 항상 진짜 좋은 말씀을 많이 해 주셔요. 성적도 잘 주십니다! 애초부터 성적 잘 주시기로 유명하셨던 분이고 저도 A+ 받았어요ㅎㅎ 시험은 없고, 과제는 프레젠테이션 5번과 토론 1번으로 기억하는데, 팀플이 약간 있지만 수업 시스템이 '함께 협력'하는 시스템이라서 다 같이 열심히 참여했던 것 같아요. 추천하는 과목입니다!"
말하기와 토론,김용신,21,Spring,5.0,"매 수업 시작 전 무작위로 소회의실을 생성하시고, 약 5분간 일주일 동안 무엇을 했는지 학우분들과 공유하는 시간을 주십니다. 한 학기 수업이 끝나면 다른 수강생 분들과 내적 친밀감이 쌓이는 수업이었습니다! 과제는 크게 3분 스피치 영상 업로드, 7분 스피치 영상 업로드, 실시간 줌 토론 이렇게 내주셨는데, 교수님을 비롯한 여러 학우 분들의 피드백을 들어볼 수 있는 좋은 기회였습니다."
말하기와 토론,김용신,21,Spring,4.0,"교수님 정말 좋으신 분이고, 수업도 열정적으로 진행하십니다. 과제는 적당히 많고, 하라고 하는 과제들 참여하면 학점 잘 나오는 편인 것 같아요."
말하기와 토론,김용신,21,Spring,4.0,"꿀강입니다
로드는 평균 수준인것 같고 3시간 통강이 힘들지만 낫배드해요
수업을 열심히 한다면 말하기 능력 향상과 더불어
의예과필수 버프로 인한 높은 학점을 챙길수있는 꿀강"
말하기와 토론,김용신,21,Spring,5.0,"좋은 내용 많이 가르쳐 주시고, 적극적으로 참여하기만 한다면 즐거운 수업임.
과제가 많긴 한데 이건 말토가 대부분 그럴 것이고, 실제로 도저히 못하겠다는 생각을 해 본 적은 없음.
앞으로 다시 열릴지는 모르겠는데, 조금이나마 말하기와 토론을 발전시키고 싶다면 (만약 열린다면...) 추천."
말하기와 토론,김용신,21,Spring,4.0,"교수님께서 열심히 가르쳐주십니다.
학점은 나쁘지 않게 주십니다."
말하기와 토론,김용신,20,Spring,5.0,"수업 들을땐 과제때문에 힘들었는데 학점으로 미화된 케이스. 과제량은 강의 특성상 어쩔 수 없고, 교수님께서 부드러운 성격이셔서 수업 중에 힘든건 그다지 없어요. 말하기 연습에 도움도 많이 되었습니다. 자신감도 많이 가지게 됩니다."
말하기와 토론,김용신,20,Spring,4.0,"3시간 캠키고 있어야돼서 체력적으로 좀 힘들긴합니다. 3분 발표, 7분 발표, 토론 이렇게 3번 평가합니다. 교수님이 학생들 발표에서 잘한점이나 고칠점 잘 짚어주셔서 개인적으로 도움 많이 받았습니다."
말하기와 토론,김용신,20,Spring,3.0,"3시간 꽉 채워서 수업하시고 로드 꽤 많음ㅜㅜ
진짜 통강 듣지 마세요  넘 힘들어요.."
말하기와 토론,김용신,20,Spring,4.0,"전설의 후....후 불면 뚫리는 솜사탕 말토
예과생의 지루할 뻔한 1학기를 책임져준 강의"
말하기와 토론,김용신,19,Fall,1.0,"일단 교수님이 유도리라는 게 없음. 너무 깐깐하고 정석적. 그리고 과제 정시에 다 제출하고 준비 열심히 했는데 씨쁠 뜸. 별로임. 교수님 평이 좋은 건 교수가 좋아서가 아니고 말토 강의 자체가 원래 학점이 좀 후한 편이라 그럼. 로드도 교양 중에 제일 많았고 중요한 건 종강 다들 다 하는데 종강 보강 주에 끝내심. 혼자 종강하고 3일 뒤 계절학기 시작. 다른 교수님들 들으세요. 말토가 꿀인 거지, 이 교수가 꿀이 아님."
말하기와 토론,김용신,19,Spring,5.0,일단 본인은 올출+과제 정시제출+ 발표및 토론 평타 해가지고 a+ 나오긴 했는데 아마 그냥 시키는거만 별탈없이 하면 성적은 잘 주시는 것 같습니다. 단점이라면 일단 이 교수님은 일찍 끝내주고 일찍종강하고 이런건 없어가지고 좀 수업듣는데 힘들었습니다. 그리고 발표내용에 있어서 교수님이 원하는 방향으로 설정해야한다는것도 좀 불편했습니다. 그래도 교수님께서 현직 아나운서셔서 전달력은 좋으십니다. 열심히 할 생각 있으면 들어보세요
말하기와 토론,김용신,19,Spring,5.0,"일단 교수님이 아나운서라 발성이 상당히 좋으시다. '공적인 말하기'에 대해 제대로 배울 수 있고, 강의내용도 만족스러운 편. 다른 말토 수업이 그렇듯 시험은 없으며 3분 스피치 + 7분 스피치 + CEDA 토론 총 세 번의 큼지막한 과제가 있다. 그 외에도 기타 자잘자잘한 과제가 많으며(학기 중 한 번 강연회 참석 후 비평, 매 발표마다 스크립트와 소감문 제출 및 토론전략표 등등) 출석을 매우 엄격하게 체크하신다(직계비속 사망 혹은 예비군 훈련만 출석인정, 병결 이딴 거 없음). 
상대평가에 상호평가를 적용하셔서 매 발표 때마다 다른 모든 사람들의 발표에 점수를 매겨야 한다. 이게 상당히 귀찮다. 또 교수님이 강의 내내 말을 많이 하는 걸 강조하셔서, 매주 강의 시작마다 '한 주의 이야기'라고 해서 1~2분 정도 자신의 이야기를 해야 하며, 전체 학생들 앞에서 말해야 하는 경우도 많다. 여러모로 말하기를 좋아하는 사람이라면 적성에 맞겠지만, 그 반대라면 힘들어질 듯.
이렇게까지만 말하면 헬강의처럼 들리는데, 사실 시험이 없어서 다른 과목에 비해 로드 부담은 현저히 적으며 학점도 상당히 잘 주신다(A+를 뿌린다고 들었는데 정확한 진위여부는 파악하기 어렵다. 다만 본인은 A+ 받음). 또한 말토 특성상 수강생의 절반이 의예과 신입생이기 때문에 학점 걱정은 할 필요가 없다. 다만 이 강의평을 읽는 당신이 의예과라면 수강을 제고해야 할지도 모른다. 일단 출튀는 절대로 불가능한 과목이기 때문. 아무튼 본인이 말하기를 좋아한다면 강력히 추천하는 과목."
말하기와 토론,백미숙,22,Spring,4.0,물론 할 게 적진 않지만 교수님께서 하라고 하신 것들을 놓치지 않고 다 하기만 하면 학점은 챙길 수 있는... 그런 강의가 아닐까 생각합니다
말하기와 토론,백미숙,22,Spring,3.0,수업 자체는 흥미로운데 교수님이 '굉장히' 보수적이셔서 아파서 결석하고 진단서 제출해도 출결 반영하십니다
말하기와 토론,백미숙,22,Spring,2.0,하라는거 다함. 심지어 더함. 근데 입학 후 처음 맞는 점수임..ㅋㅋ 내 눈을 의심함. 반응도 좋았는데 뭐가 어디서부터 잘못됐는지 모르겠음.
말하기와 토론,백미숙,22,Spring,5.0,예과생입니다. 악명에 비해서 매우 도움되고 성적도 잘 받은 강의였습니다. 반 분위기가 좋아서인지 가족 같은 분위기로 한 학기동안 말하기 실력이 많이 향상된 것 같습니다.
말하기와 토론,백미숙,22,Spring,5.0,할일은 많지만 재미있습니다. 즐겁게 한 학기 동안 수업할 수 있었습니당
말하기와 토론,백미숙,22,Spring,5.0,"선배들깨 들어왔던 악명과 에타 강의평에 비해 꽤 괜찮았던 수업이었습니다. 물론 로드가 많긴 해요. 그런데 이건 다른 말토 수업도 비슷하다고 생각하고, 시간을 많이 들이지 않고도 따라갈 수 있는 정도라고 생각합니다.
실습은 총 4번, 나머지는 무난하지만 세번째 토론 실습이 살짝 힘들었고, 마지막 실습은 비교적 자유롭게 진행되었습니다. 교수님께서 실습이 없는 날은 짧게 감상을 발표하거나 학우분들의 스피치 코멘트라도 하며 수업에 참여하도록 하십니다. 모든 실습에는 일부 학우분들의 스피치에 당일 자정 전까지 댓글코멘트를 남겨야 한다는 게 로드라면 로드겠지만, 시간이 올래 걸리는 게 아니라서… 
교수님께서 굉장히 인간적이시고 학생들을 위해주신다고 느꼈고, 확실히 말하기가 늘었다고 생각합니다. 그리고 평가는 말을 잘하고 못하고는 상관없이 성실성을 제일 많이 보시는 것 같아요!
많이 걱정했지만 백말토 나쁘지 않았어요!"
말하기와 토론,백미숙,22,Spring,5.0,"과제가 꽤나 많긴 하지만 이건 말토 수업 전반적으로 해당하는 것 같습니다. 교수님께서 말하기의 실력과 관계없이 수업의 참여도와 열정을 고려하여 성적을 주신다는 생각이 들었습니다. 제때제때 하라는 과제를 하고 발표만 준비한다면 성적은 괜찮을 것입니다. 무엇보다, 수업 자체가 말하기의 실력을 경쟁하는 것이 아니라 편안한 분위기에서 공적 말하기 연습을 많이 할 수 있어서 좋았습니다. 참고로, 작성자는 그렇게 열심히 공부하지 않는 의예과 수강생입니다."
말하기와 토론,백미숙,22,Spring,5.0,약간 스피치 학원 느낌으로 본인의 말하기 능력을 향상시킬 수 있는 수업
말하기와 토론,백미숙,21,Fall,5.0,"너무 평이 안 좋아서 올림..
로드가 없는 편은 아니지만, 모든 말토에 적용되는 가이드라인에 따른 거라서 상대적으로 힘든 편은 아니라고 생각합니다.
금요일 수업을 수강했는데 오히려 지난 학기들에 비해 실습 하나를 줄여주셔서 부담이 덜 했습니다.
교수님, 학우님들이 만들어가는 수업 분위기가 참 좋았기에 종강까지 지치지 않고 달릴 수 있었어요.
매 수업 빠지지 않고 발언하고 실습 꼼꼼히 챙기고 포트폴리오랑 코멘트 기한만 놓치지 않으면 학점은 걱정하지 않으셔도 됩니다..!
실습 후 질의응답이 자연스럽게 토론으로 이어지곤 하는데 조개처럼 입 다물고 계셨던 분들이 아래 평을 남기신 거라면 할 말이 없네요.."
말하기와 토론,백미숙,21,Fall,1.0,로드 너무 많음 실습은 발표 두번 토론 한번에 매 실습마다 댓글달기 등 할게 많음 학점은 밑에 할거 다하면 a+이라는데 이거 아니고 참여점수도 들어가서 나뉨
말하기와 토론,백미숙,21,Fall,1.0,"로드 ㅈㄴ 많고 학점 ㅈㄴ 안 줌
예과생 아니고 나름 열심히 했는데 성적 ㅈ망함
다른 거 다 잘 나왔는데 얘만 왜 이렇게 나왔는지 모르겠음"
말하기와 토론,백미숙,21,Spring,4.0,과제가 어어어어어어어어어엄청 많아서 너무 힘들었어요 예과생들 많아서 학점 따기는 좋을듯
말하기와 토론,백미숙,21,Spring,1.0,"로드 많고 배워가는 것도 딱히...
예과생이면 최대한 피하시고 타과생 분들이라면 예과 많으니까 학점을 위해서 들어보시길"
말하기와 토론,백미숙,21,Spring,1.0,말토 씨마 받은 예과생 오열하고 갑니다😭😭
말하기와 토론,백미숙,21,Spring,1.0,예과생이면 듣지마세요 로드 정말 많고 출결 빡세요
말하기와 토론,백미숙,21,Spring,5.0,"모든 로드를 퀄리티 관계 없이 시간 안에 완료하기만 하면 확정적으로 에쁠을 받을 수 있습니다. 시험도 없습니다. 다만 다른 말토를 안들어봐서 모르겠지만 로드는 좀 더 있는 편이라고 교수님께서도 말씀하십니다. 뭘 들을지는 성향의 문제인 거 같은데 말하는 게 다른 대체 글쓰기 과목보다 낫다거나 자잘한 로드 잘 챙길 자신 있거나 학점 중요하면 듣는 걸 추천합니다. 개인적으로는 글쓰기 과목 들었었을때 그 팀플 로드를 다시 겪기 싫었고 로드가 시험기간 밖으로 좀 분산되어 있다는 점이 좋아서 들었습니다. 그리고 수업시간에 모르는 거 이해하려고 막 머리쓰거나 필기하려고 집중하지 않고 편하게 듣기만 하면 되어서 그게 가장 좋았던 거 같네요. 근데 아마 시험기간-노는기간 확실하게 구분하는 사람들이나 다그렇다는건 아니지만 보통 그런 신입생들?은 좀 많이 귀찮을 거 같긴 합니다.

로드는 3번의 스피치+ 1번의 토론+ 실행문서 및 댓글 작성 + 말하기 포트폴리오 작성 이렇게 이루어집니다.
스피치 3번은 다 목적은 다른 스피치이지만 1)말할 거 실행개요서 작성해서 올린다 2) 수업시간에 스피치한다 3) 끝나고 소감문 작성해서 올린다 4) 다른 사람들 스피치 피드백 댓글로 적는다 이렇게 나뉩니다. 이 4개가 전부 마감일이 다르기 때문에 일정관리를 잘 하셔야 합니다. 그리고 하루에 모든 인원이 전부 스피치를 할 수 없어서 날짜를 자기가 편한 날로 선택할 수도 있습니다. 
토론은 과정은 위와 동일한데 발제문이나 전략표 등 사전에 작성해야하는 문서가 좀 더 있고 팀플이기 때문에 조원들과 준비에 시간을 좀 더 많이 투자해야한다.. 그리고 팀플 스트레스가 있습니다만.. 토론 자제가 준비가 어려워서 그렇지 투자하는 시간 자체는 다른 과목 팀플보다는 적습니다.
말하기 포트폴리오는 거의 학기 종강 날짜까지 내는거라 시험이 맨 뒤에 몰려있는거 아니면 부담스럽지 않습니다. 그 동안 썼던 실행개요서 등 문서 내용+자기가 피드백 받는 댓글 모아놓고 한 학기 회고하는 내용 조금 추가하면 되어서 부담 전혀 없습니다.

정리하면 점수 압박 성적 압박 퀄리티 압박 없다. 대신에  성실하고 부지런해야한다. 단, 분명 강의평도 봤을테고 굳이 말하기 수업인데도 선택해서 들어오고서는 말 한 마디 안하려는 학생들이 많으면 나도 덩달아 얻어가는게 줄어든다..."
말하기와 토론,백미숙,21,Spring,4.0,로드 엄청 많음 근데 어려운 건 아님 근데 자잘자잘 너무 자주 많이 있어서 귀찮음 듣지마라! 이건 아닌데 개꿀강은 아님
말하기와 토론,백미숙,21,Spring,4.0,"일단 매우 깐깐하고 원칙주의자이심
절대 카메라켜야하고 적극적으로 먼저 말하는 사람 좋아하시고 말하는 사람 없으면 교수님 이야기로 수업 길어지니 활발하게 잘 말하면 좋을듯
과제는 솔직히 적지 않은 편이고
자기소개-성찰-설득-토론-정보연설-최종 말하기 책 만들기
이 순서임
성실히만하면 성적 잘받는다는 건 팩트임"
말하기와 토론,백미숙,21,Spring,5.0,"4번의 실습과 청중 코멘트 작성, 그리고 기말 보고서 등 로드가 꽤 있다.
그러나 이것을 성실하게 마무리하기만 하면 좋은 학점을 주신다.
특히 교수님이 아주 좋으시고 수업에서 얻어 가는 게 많다."
말하기와 토론,백미숙,21,Spring,3.0,말토를 들으신다면 꼭 백말토를! 들으시는 걸 추천합니다 ^_^
말하기와 토론,백미숙,21,Spring,2.0,"이 강의는 
거의 제가 관악에서
듣게된 강의중
지인짜 제일 도움되는
마법의 강의였습니다

꼭 들으시길 바라요!"
말하기와 토론,백미숙,21,Spring,5.0,로드는 많지만 성실하게만 하면 A+ 받을 수 있습니다
말하기와 토론,백미숙,20,Fall,4.0,"실습 4번, 그 중 빡센 45분 토론 한번 있다는거..
그리고 포트폴리오 만드는 최종 과제까지
과제 많은데 교수님은 참 좋으셔요
학점도 잘주심"
말하기와 토론,백미숙,20,Spring,5.0,말 잘할 필요 1도 없고 성실성만 있으면 됩니다. 추천
말하기와 토론,백미숙,20,Spring,5.0,"비대면이었고 Zoom 화상강의 방식이었습니다. 주요 실습은 ‘말하기의 성찰, 설득연설, 토론, 정보연설(스피치 분석)’이었습니다. 그 외에도 맨 앞에는 자기소개와 같은 비교적 소소한 말하기가 있었습니다. 다른 사람들의 발표에 대한 댓글 코멘트를 달아야 하며, 실습 이후에 자신의 발표를 돌아보는 종합 코멘트를 쓰는 경우도 있습니다. 이런 것들은 그렇게 무겁지는 않지만 잘 챙겨야 한다는 점에서 꼼꼼함이 필요합니다. 가장 할 일이 많은 실습은 토론이었습니다. 조별 과제였고 논제에 대해 제대로 공부하려면 시간 투자가 필요했습니다. 저는 조원 분들을 잘 만나서 그런대로 좋은 시간이었습니다. 

그리고 기말 포트폴리오가 있는데 분량은 중요하지 않으며 15~20페이지면 된다고 하셨습니다. 제출 기한이 1학기 종강 이후라는 것이 위안이 되었습니다. 계절 학점을 많이 들으신다면 상황이 다를 수도 있겠지만 저는 3학점만 하고 있어서 기한이 넉넉했습니다. 그리고 그동안 썼던 원고 등을 넣으니 분량이 제법 많았습니다. 그래서 그때 새로 뭔가를 쓴 부분은 생각보다 많지 않았습니다. 다른 분들도 말씀하신 것처럼 할 일은 적지 않지만 그만큼 배우는 것은 많았습니다. 그리고 성실함을 중시하신다는 것을 학기 초에 직접적으로 말씀해 주셨습니다. 최종 성적은 A+입니다.

(출처: 스누라이프에 본인이 작성한 강의평)"
말하기와 토론,백미숙,20,Spring,5.0,"말하기가 좋아서 들은 타과생입니다. 시험은 없지만 자잘한 과제와 말하기가 많습니다. 기한 모두 지키고 발표 성실하게 하고 최종 포트폴리오 공들여서 작성하니 A+ 주셨습니다. 실력으로 평가하시지 않는 점이 정말 좋고, 기한을 모두 맞출 수 있는 꼼꼼함이 있으시다면 학점 걱정하실 필요 없습니다!! 배워가는 게 정말 많은 수업입니다."
말하기와 토론,백미숙,20,Spring,4.0,"힘들고, 학점도 퍼주지는 않습니다. 그런데 재밌었어요. 얻어가는게 있는 수업 원한다면 추천합니다!"
말하기와 토론,백미숙,20,Spring,5.0,백교수님 말토가 전체 말토 중에 제일 힘들지만 얻어가는 것도 많은 강의라고 생각합니다. (사실 다른 말토는 안들었지만) 말하기에 자신 없으신 분은 이 강의 들으시면 좋을 것 같아요. 교수님께서 칭찬해주시는 분위기를 만드십니다. 못한다고 뭐라고 하지 않아요. 그래서 좋았습니다.
말하기와 토론,백미숙,20,Spring,4.0,"제 발표 준비하는 것보다도 다른 분들 발표 꼼꼼히 듣고 코멘트 작성하는 게 생각보다 힘들었구요
시험은 없지만 자잘한 발표가 많아서 널널한 강의는 절대 아닙니다. 뭔가 끝났다 싶으면 다음 발표가 반겨줍니다ㅎㅎㅎ그래도 나의 잠재력을 발굴하고 성장할 수 있는 강의임은 분명합니다 종강하면 참 후련할 것 같네요!!!!"
말하기와 토론,백미숙,19,Fall,5.0,일단 교수님이 엄청 학생들을 챙겨주세요!  그리고 과제를 제때제때 성실히만 낸다면 (시간만 잘 지키면) 누구든 에이쁠을 받을 수 있는 것 같습니다 대신 한번이라도 안 지키면 바로 성적이 내려갈 수 있는 강의예요
말하기와 토론,백미숙,19,Fall,5.0,노력한만큼 점수주심 절대 실력으로 점수를 매기시진 않으심. 자잘한 과제가 많은 편. 토론준비가 힘들지만 나름 얻어가는게 많은 수업
말하기와 토론,백미숙,19,Fall,5.0,"하는만큼 얻어가는 강의. 4번의 말하기 실습과 피드백 과제, 중간중간 짧은 발표, 최종 포트폴리오 등을 고려해보면 시험이 없다는 메리트가 별로 느껴지지는 않는다. 그래도 성적은 열심히, 시간에 맞추어 과제를 제출했는가, 출석으로만 체크하기때문에 잘하고 못하고는 상관이 없는 강의. 열심히 한다면 학점도, 말하기 성취도 얻을 수 있지만 열심히 참여할 생각이 없다면  타학우들의 좋은 학점베이스가 되어줄 수 있다. 한 학기를 보람차게 보내고싶다면 추천."
말하기와 토론,백미숙,19,Fall,4.0,"좋은 강의다. 배울 점도 많다. 단, 배우지 않을 생각이라면 심히 고통스러울 것임을 인지하라. 본인은 한 학기동안 자괴감 속에 살았다.."
말하기와 토론,백미숙,19,Spring,4.0,"수업 시작하자마자(1~2분내로) 바로 출석 부릅니다. 2~3번까진 지각 봐주고 그다음부터는 깎는다고 말하신거 같은데 말씀하신 것보단 좀 더 여유 주시는듯합니다.

발표(+모둠토론) 총 4번 준비해야해서 로드 좀 있습니다. 하지만 eTL에 동료평가나 소감문 제시각에 올리는게 훨씬 중요합니다. 발표 망했다고 드랍 생각은 안 하셔도 됩니다.

교수님은 정말정말 친절하십니다. 처음부터 발표 못해도 괜찮다고 자신감 많이 넣어주시니 편하게 하시고, 자기가 시간 잘 지켜서 과제 할 자신이 있고, 이 수업 전에 다른 수업이 있어서 절대 지각 안 할 자신 있다면 꼭 들으세요. 학점은 위에 말한 eTL만 잘 내고 출석 잘 받아가면 잘 주시는 것 같습니다."
