초급프랑스어 2,홍인혜,23,Summer,5.0,"교수님 귀여우세요
과목 자체의 난이도는 높기 때문에 시험이 쉽지는 않아요
수업 들으면서 머리 싸맨 적은 많지만, 성적은 너그럽게 주십니다!"
초급프랑스어 2,정혜용,22,Fall,5.0,시험 정말 말아먹었는데 그런 것 치고 성적 잘 주셨어요...ㅜㅜ 교수님 정말 유쾌하시고 열정적이셔서 정말 좋았습니다! 대신 엄청 집중하고 들어야 한다는 점! 교과서에 없는 표현도 알려주시고 시험에 내시기 때문에 필기 열심히 하셔야 됩니다.
초급프랑스어 2,정혜용,22,Fall,5.0,"교수님께서 유쾌하시고 강의력도 좋으셔서 수업 즐겁게 들었습니다! 과제도 각 과의 액티비떼 풀어가는 것 밖에 없어서 그리 부담되지는 않았어요. 랩시험이 중간 기말 2개인건 좀 귀찮긴 한데 원래 초프2가 그런거고, 원어민 교수님도 너그러우시니 크게 부담 안 가지셔도 될듯 합니다. 
 다만 시험이 좀 어려운 편인 듯 합니다. 초프 1때는 교과서 문장 그대로 출제되는 문항이 많아서 교과서를 통암기하면 되었는데 여기서는 그 전략이 안 통하더라고요...단어랑 문법 사항 정도만 암기했다가 그자리에서 응용해 푸는 식의 문제가 많았습니다. 특히 중간보다는 기말이 좀 더 어려웠던 것 같아요. 기말에서는 교과서에는 없지만 교수님께서 따로 설명해주신 표현이나 문법사항이 좀 출제되기도 해서 꼼꼼하게 필기해두고 복습할 필요가 있을 듯 합니다. 
 그래도 성적은 후하게 잘 주시는 것 같습니다. 중간 기말 점수 둘 다 안 알려주셔서 정확히는 모르지만 중간은 그럭저럭 봤다 쳐도 기말은 벼락치기로 공부하고 정말 말아먹은 거 같은데 에쁠주셨습니다. 그리고 여담이지만 교수님 웃음포인트가 동명이인인 것 같으니 이름 흔하신 분들은 참고하세요..."
초급프랑스어 2,정혜용,22,Fall,5.0,초프2가 워낙 내용도 많고 어려운데 교수님 강의력이 좋으셔서 차근차근 잘 따라갈 수 있었습니다. 교재에 없는 표현들도 많이 알려주시는데 시험에 많이 나오니 열심히 적어두셔야 합니다.. 시험은 꽤 어렵고 지엽적인 것 같아서 수업 내용을 깊이있게 공부하고 응용할 줄 알아야될 것 같습니다ㅠ 성적은 깐깐하신지 너그러우신지는 모르겠는데 전 열심히 해서 에이쁠 나왔습니다. 프랑스어 발음이 어려워서 자신이 없었는데 따로 시간 할애하셔서 발음 강의도 해주시고 좋았어요 ㅎㅎ
초급프랑스어 2,정혜용,22,Winter,5.0,"왜 에이쁠인진 모르겠는데 에이쁠입니다
성적을 중간 공개해주시진 않습니다

준비를 딱히 미리 해오시는 거 같진 않은데 평소 번역 작업을 하시는 분이다 보니 프랑스어를 잘 아셔서 본문 해석해주시고 문법 가르쳐주시고 표현 알려주십니다

교과서 연습문제 나와서 풀거나 과제로 업로드하는 식이었고 돌아가면서 교과서 읽고 해석합니다 퀴즈는 중간 전에 한 번 있었어요

분위기도 좋아서 저는 좋았어요

중간은 지엽적인 거 없이 쉽게 나왔는데 기말엔 지엽적인 표현들도 나왔습니다 본문에서 ‘이런 게 나오겠어?’ 싶은 세부적인 어휘들이요 그렇다 보니 읽으면서 외우시는 거 추천드립니다 눈으로만 보면 까먹었을 텐데 시험 직전에 읽으면서 했다 보니까 기억에 남았더라구요

그리고 초프2는 초프1과 달리 랩도 시험이 있었는데 어려운 건 아니었고 그동안 수업한 내용들 질문합니다 미리 공지해주실 거에요

프랑스어 많이 배워갈 수 있어 즐거웠습니다"
초급프랑스어 2,정혜용,20,Fall,5.0,"초프 1 듣고 바로 이 수업을 들었는데, 교수님이 차근차근 알려주셔서 어려움 없이 수업을 따라갈 수 있었던 것 같다.  수업 시작 시 이전 시간 강의를 간략히 복습해주시는데 도움이 많이 되었다. 시험을 3번 봐 호불호가 조금 갈릴 수는 있음. 그치만 오히려 다른 과목 시험기간만 겹치지 않고, 3과마다 복습해서 시험 준비는 수월했던 듯."
초급프랑스어 2,정혜용,20,Fall,5.0,교수님이 매우 열정적이십니다. 매번 실시간 풀수업을 하고 남아서 질문까지 받아주십니다. 많은 것을 배워갈 수 있습니다. 하지만 왠만하면 초프1을 듣고 듣는것을 추천합니다. 고등학교에서 한학기 배웠거나 몇달 독학했다고 초프2를 선택하면 그 학기가 매우 힘들어질수 있습니다
초급프랑스어 2,정혜용,20,Fall,5.0,"과제 없고 수업 시간에만 집중해서 들으면 따라갈 수 있는 수업이라는 게 가장 좋았습니다. 초프2가 초프1보다 기본적으로 암기해야 할 것도 많고 문법수준도 올라가서 쉽지 않은데 교수님 강의력 정말 좋으셔서 차근차근 꼼꼼히 설명해주세요. 책에 없는 표현들도 많이 알려주셔서 저는 좋았어요. 수업마다 학생들 돌아가면서 본문 읽게 하시거나 문제 풀게 하시는데 정말 부담 없고 덕분에 더 집중해서 수업 듣게 됐던 것 같아요. 
시험은 범위 나눠서 총 3번 대면으로 봤는데 쉽지는 않은 것 같아요. 달달 외우는 느낌보단 .. 응용까지 할 수 있게 공부 제대로 해야 하는 시험 같았어요.
학점은 비율 맞춰주시는지 잘 주시는지 잘 모르겠네요. 저는 열심히 해서 에이쁠 받았습니다.
교수님의 시원시원한 성격과 말투가 첫수업에는 조오금 당황스러웠는데 적응되고 나니까 오히려 교수님의 학생들에 대한 애정(?)이 느껴졌습니다 ... 열정 가득하셨던 학우님들도 멋있는 교수님도 오래 오래 기억날 수업일 것 같아요."
초급프랑스어 2,정혜용,20,Spring,5.0,"꼼꼼히 잘 가르쳐 주십니다. 비록 이번 학기에는 비대면이기도 하고 금요일 랩 수업이라서 수강 인원이 3명 뿐이었지만 그 덕분에 학생 한 명 한 명 모두 잘 가르쳐 주신 것 같습니다. 시험은 총 세 번 봤는데, 첫 번째 시험과 두 번째 시험은 교재 위주로 개념 적용하는 문제가 많이 나왔습니다.(지엽적으로 내시지 않는 듯) 세 번째 시험이 좀 어려웠는데, 이 시험에서는 교재를 꼼꼼히 봐야 잘 볼 수 있었겠다는 생각이 듭니다. 마지막 시험만 대면이어서 그런지 난이도에 조금 차이가 있었던 것 같습니다. 과제는 별로 없고, 르송 하나마다 악티비떼로 있는 작문만 제출하시면 됩니다."
초급프랑스어 2,김혜중,18,Fall,4.0,"사실 성적은 아직 모르구요
수업은 조금 빡빡했어요. 근데 이건 원래 교과서부터가 빡빡해서 그런것도 있는데, 그래도 교수님이 본문 이해하는대 도움되라고ㅠ여러 자료를 주시기도 햇어요. 문법은 교과서보단 당연히 자세하긴 한데, 엄청 딱딱 명료하게 정리되게 가르쳐주시진 않았어요. 그래서 저는 공부하면서ㅜ나름 공식처럼 정리하는 습관이 있어서 공부하다가 질문생기면 물어보고 고치는 삭으로 공부를 했어요. 
수업을 듣다보며눈 나만 못하는거 같다는 생각이 들기도 하는데, 시험은 안그러ㅐ요
수업보다 시험이 훨씬 쉽게나옵니다. 정말 시가없으면 단어고 뭐고 와울필요없이 교과서 문장들만 보세요. 그리고 수업중간중간 교수님이 뭔가 강보하시듯이 이런건 주의해야 한다고 말씀하시는 부분들이 있는데, 그거 좌다 시험에 나옵니다. 막 헷갈리는 문제있을 때, 교수님이 이거 강조하셨던거 같은데 그럼 내셨겠지??하면서 그 단어나 그 문법 쓰면 정답이 ㄹ확율이 높아요!!!"
초급프랑스어 2,문경자,22,Fall,4.0,교수님이 질문에 답을 잘해주십니다. 매주 교재 문장을 써가는 과제가 있긴 하지만 그렇게 부담되는 정도는 아니었어요. 성적은 잘라 주시는 것 같습니다.
초급프랑스어 2,문경자,22,Fall,5.0,교수님이 질문에 대한 답변을 아주 명확하고도 섬세하게 알려주셔서 프랑스어를 배우는 데 정말 큰 도움이 되었습니다.강추!!
초급프랑스어 2,문경자,21,Fall,5.0,깔끔한 프랑스어 강의. 교재 연습문제 메일 보내면 첨삭 해주시는 게 진짜 좋았다! 덕분에 답지 없는 초프 교재임에도 헷갈리지 않게 공부할 수 있었음. 이것저것 알려주시는 건 많지만 시험에는 딱 교과서에 있는 문장들만 나오니 부담 갖지 않고 들어도 될듯
초급프랑스어 2,문경자,19,Spring,4.0,"일단 교수님 너무 귀여우십니다....ㅎㅎ
수업 깔끔하게 잘 해주십니다..다만 예문을 정말 많이 들어주시고 다 받아적기 힘들어요..
이번이 절평 시행학기였고 수강생 수가 적어서 성적을 어떻게 주셨는지 모르겠지만 최대한 잘 주려고 하시는 것 같습니다!"
초급프랑스어 2,문경자,18,Fall,4.0,"무난한 초프 2강의,  교수님이 정말 친절하시다, 그러나 은근 말이 빠르시고 예문이 쏟아져나온다... 성적은 공부한 만큼 받는 것 같다"
초급프랑스어 2,심재중,21,Spring,5.0,"우선 교재 위주로 수업하시고, 과제는 거의 매주 교재 문제 푸는게 있긴한데, 전혀 부담스러운 양은 아니었습니다. 시험은 중간 기말 둘 다 대면이었고, 문법이랑 작문 위주였습니다. 교재만 꼼꼼히 공부하면 다 풀 수 있는 정도여서 진짜 교과서만 잘 외어가면 좋은 성적도 받을 수 있는 강의라고 생각합니다! 학점은 비율 맞춰서 주시는지는 잘 모르겠습니다. 저는 열심히해서 에이쁠 받았습니다. 외국어2과목이라 어렵지않을까 생각했는데, 교수님께서 정말 친절하게 잘 설명해주시고, 차근차근 알려주셔서 어려움없이 따라갈 수 있었습니다. 정말 좋았습니다!!!"
초급프랑스어 2,심재중,20,Fall,4.0,"비대면 실시간 줌 강의로 진행되었는데 주로 주요 문법을 먼저 학습한 후 본문을 배우고 남은 문법 표현들 배우는 방식으로 진도가 나갔습니다. 교수님께서 정말 친절히 설명해주시고 참고 문장도 몇가지씩 준비해주셔서 이해에 많은 도움이 되었습니다. 다만 과목 특성상 수업시간에 교수님이 시키신 문장 따라읽기정도를 제외하고는 이렇다할 활동이 없이 조금 지루하게 느끼는 분들도 계실 수 있습니다. 과제는 거의 매시간 나오긴 했는데 연습문제 한두개 푸는 정도라 10분안에 끝낼 수도 있을만큼 부담은 적습니다. 시험은 중간은 대면으로 봤는데 거의 대부분 교재 문장이 그대로 나와 크게 어렵지 않았고, 기말은 비대면으로 실시하여 교재 문장을 기반으로 한 약간의 변형 작문이었는데 역시 난이도는 어렵지 않았으나 시간이 여유롭지는 않았습니다. 복습만 잘해도 큰 어려움 없이 좋은 학점 받으실 수 있을듯합니다."
초급프랑스어 2,심재중,20,Fall,5.0,"젠틀하시고 천천히 꼼꼼하게 잘 가르쳐주시는 교수님입니다. 강의는 실시간 줌으로 진행됐고, 중간중간에 교재 문장을 읽어보게 시키셔서 마냥 멍 때릴 순 없었어요. 과제는 매 수업마다 교재에 수록된 연습문제 풀고 타이핑해서 제출하는 과제가 있는데 어렵지 않아서 후딱 제출하면 됩니다. 제출이 늦었던 적이 두 번 정도 있었는데 그래도 에이쁠 주셨습니다. 제출만 제대로 하면 되는 것 같아요. 중간고사는 대면이었고 기말고사는 비대면이었는데 둘 다 어렵지 않았습니다. 문법의 핵심을 잘 알고 있으면 되는 정도였다고 생각합니다. 문제를 지엽적으로 내시지 않으셔서 좋았어요. 객관식보다는 작문 위주의 문제들이었습니다.
출석 열심히 하고, 과제 제대로 제출하고, 원어민 랩수업에도 성실하게 참여하면 잘 배우고 학점도 챙겨갈 수 있는 강의라고 생각합니다."
초급프랑스어 2,심재중,20,Spring,4.0,"초급프랑스어 2 중에 여기만 강평이 없어서...비록 기말고사를 자체드랍한 사람이지만 평을 남깁니다.
강의는 Zoom으로 진행되고, 캠은 안켜도 됩니다. 가끔씩 본문을 읽게 시키시는데, 정말 가끔이라 부담스럽지 않았습니다.
교수님 좋으시고 귀여운 면도 있으십니다. 강의력도 좋으세요. 과제는 거의 매일 교재에 있는 문제 한 두 과 정도를 풀어서 eTL에 올리는 것입니다. 문제 양이 많지 않아서 미리미리 해두면 어렵지 않았습니다. 
기말 한방 전범위라 저는 시험장에 가서 자체드랍을 했지만 시험난도 자체는 높지 않았습니다. 시험지 보고 ‘공부할걸!’이라는 생각을 할 정도로, 공부를 1도 안한 저도 풀 수 있는 문제가 한 20%? 정도 있었습니다.  저는 시험지 옆에 장문의 편지를 쓰고 바로 나왔는데 결과적으로 C+을 주셨네요. C+ 주신 거 보면 착하신 교수님이니 학점도 잘 주셨지 않을까 짐작합니다 (이건 잘 모르겠습니다 ㅎ)"
초급프랑스어 2,김예령,21,Fall,5.0,"입만 벌리고 있으면 초프2 문법과 더불어 초프1 복습 사항까지 넣어주시는 교수님이십니다. 더불어 초프2 내용에서 한 걸음 더 나아가는 문법 사항까지 넌지시 언급해주셔서 앞으로도 프랑스어 공부를 하실 분들한테는 도움이 되리라 생각했어요(초프2까지 듣는 분들은 대개 중프1까지 들으실 테니까요ㅎㅎ) 당연히 이 부분은 아랫분 말씀처럼 시험에 반영되지는 않는, 내가 원한다면 더 공부하는 선택사항이고요.
이번 학기는 학생 수가 적어서 적어도 두 세번씩은 돌아가면서 읽고 독해하는 식으로 수업을 나갔어요. 교수님께서 수업 전 미리 단어들을 찾고 문장들 읽어보고 독해하는 걸 준비해오도록 하셔서 꾸준히, 성실하게 해오시면 수업 때 복습하는 느낌이 들기도 합니다ㅎㅎ 언어 과목 특성상 많이 말하고 읽고 쓰고 접하는 게 중요하니만큼 손해보지는 않으실 거예요.
시험은 중간보다는 기말이 더 빡세게 느껴지기는 할 거예요. 앞에 누적된 문법사항(기말에도 중간 문법 내용이 반영되어 나타난다는 것을 고려하면 중간 때도 열심히 공부하셔야 한다는 의미이기도 해요)과 더 난해한 문법사항 + 중간 때보다 더 어려운 본문때문에 부담감이 클테지만 적어도 3회독은 꼼꼼히 하시면 좋은 결과 거두실 수 있으리라 생각합니다!
교수님께서 위트 있는 말씀도 많이 해주셔서 늘어질 수도 있을 수업 분위기를 많이 환기시켜주세요! 수업 PPT에 담긴 내용이 너무 많아서 압도되실지도 모르겠지만 하나하나 찬찬히 뜯어보면 그리 어렵지는 않으실거예요. 많은 양의 문법을 한 학기에 몰아서 듣는 느낌이라 부담스러우실수도 있겠지만 언어과목 특성 상 어쩔 수 없다는 생각이 들기도 하네요...! 존버와 꾸준함, 성실함으로 공부하겠다는 각오를 조금 하시고 수업에 임하시면 좋을 것 같아요!"
초급프랑스어 2,김예령,21,Fall,5.0,"전반적으로 좋은 수업이라고 생각합니다.
우선 수강 인원이 적었어서 모든 수강생들이 수업시간에 질문에 답을 하게 되었는데, 그러다보니 예습 복습도 짧게라도 했어야 했고 덕분에 시험기간에 부담이 크지 않았습니다.
교수님 역시 친절하게 내용들을 알려주시고, 교재에 없는 부가적인 내용도 가르쳐주시지만 필요와 선택을 구분해주시기 때문에 큰 부담이 되지는 않습니다.
과제는 없었고요, 시험은 중간 기말 이렇게 보는데 지엽적이지 않습니다. 주된 문법 내용, 수업 시간에 강조하신 특별한 내용에 집중하시면 될 거 같아요. 작문 문제가 몇 문제 있긴 한데 다 교재에 있는 내용이라 크게 어렵지는 않다고 생각합니다.
절대평가였고 공부를 열심히 했어서 학점도 잘 받았습니다."
초급프랑스어 2,김예령,21,Fall,5.0,이번 학기에 들은 수업 중에서 제일 재밌게 잘 들었던 수업이었어요!!! 인원수가 적어서 걱정이 많았는데 그런 걱정 다 씻겨주셨습니다... 일단 잘 가르쳐주시는 건 물론이고 유머러스하셔서 강의가 하나도 안 지루했어요! 과제도 없고 수업할 때마다 돌아가면서 읽는 거랑 해석을 시키셔서 꼼꼼한 예습이 필요하긴 하지만 그래도 틀려도 괜찮아요! 그리고 외국어 강의 특성상 저는 이렇게 준비하는 게 오히려 좋았어요!! 평소에 공부가 되는 것 같아서 개인적으로는 굉장히 만족스러운 수업이었구 초프2 들으실 거라면 정말 정말 강추합니다 수업 끝나면 항상 따로 PPT 올려주시는데 저는 도움을 많이 받아서 정말 너무 좋았어요 ㅜㅜ 그리고 아래 강의평처럼 학점이나 점수가 깐깐하신지는 잘 모르겠습니다... 개인적으로는 정말 학생들 생각을 많이 해주신다고 생각했어요!
초급프랑스어 2,김예령,20,Fall,3.0,"수업 자체는 초프1과 비슷하게 진행되고, 과제도 별로 없습니다.
다만 학점은 딱딱 잘라서 주시는 것 같네요.."
초급프랑스어 2,김예령,20,Fall,4.0,저만 이 강의 너무 힘들었나요..?🥲 교수님도 친절하시고 열심히 가르쳐주시지만 따라가기 너무 힘들었습니다.. 점수 주시는것도 굉장히 깐깐하신편이세요.. 화이팅
초급프랑스어 2,김예령,20,Spring,5.0,교수님 전달력도 좋으시고 차근차근 설명해주시는 느낌이라 이해도 잘 되고 좋아요!  과 끝날 때마다 피피티도 올려주셔서 복습하기도 편하고 그리고 엄청 친절하세요! 원래는 시험 두 번 볼 예정이었는데 코로나 때문에 중간고사는 대체 과제로 대신했어요. 저는 프랑스어 못해서 오래 걸렸지만 잘하시는 분들은 금방 풀 문제들 30문제 정도 있는 게 과제였으니 어렵지는 않았어요. 그거 말고는 과제 하나도 없었어요! 기말고사는 저는 조금 어려웠는데 객관적으로 그렇게 어려운 것 같지는 않았어요! 실제로 다른 분들은 시험장에서 대부분 일찍 풀고 나가셨습니다. 거의 기말 한 방이었는데 기말 잘 못 본 것 같은데 에제를 주셨습니다ㅠㅠㅠ 솔직히 비대 기대하고 있었는데 제 등수를 몰라서 코로나 때문인지는 모르겠지만 학점을 잘 주시는 듯 합니다ㅠㅠㅠ 원래는 이 과목 에이 비율 50%로 알고 있는데 학생수가 적어서 50% 안에 들기 생각보다 힘든 것 같아요. 아무튼 교수님이 정말 좋으시고 수업도 재밌고 학점도 잘 주시니까 꼭 들으세요!!!!!
초급프랑스어 2,김예령,20,Spring,5.0,코로나 때문에 비대면으로 들어서 그런지는 몰라도 학점 정말 잘 주시는 것 같아요!! 교수님께서 강의력이 정말 좋으셔서 수업 집중도 잘 됩니다! 다만 한명한명 지목해서 연습문제 풀이나 문장 해석 등을 시키시기 때문에 그냥 단어 찾아가는 정도로 수업 전에 준비해가면 무리없일 것 같네요! 정말 좋았습니다ㅎㅎ
초급프랑스어 2,최애영,21,Fall,4.0,"교수님이 깐깐하시기는 하지만, 열심히 가르쳐주십니다. 다만 저는 호명돼서 매 시간마다 답하는 게 너무 힘들었어서..별 하나 뺐어요. 프랑스어 실력은 확실하게 는 것 같아요.
 그래도 어느 정도 실력이 있으신 분에게 강의를 추천드립니다. 저는 다른 분들에 비해 노베여서 더 힘들었나 싶거든요. 그래도 에쁠 나온 거 보니, 교수님께서 노력한 만큼 학점을 주신 것 같아요."
초급프랑스어 2,최애영,21,Fall,1.0,수업 시간 잘 안 지키심. 종강 늦음. 교수님 불친절함. 강의력은 쏘쏘. 에쁠 받고도 별로 추천하고 싶지 않은 강의.
초급프랑스어 2,최애영,21,Spring,2.0,너무 피곤했다ㅠ 한명한명 지적하시고 그닥 친절하신 느낌은 아님
초급프랑스어 2,최애영,21,Spring,3.0,확실히 문법에 중점을 둔 수업입니다. 마음이 편한 수업은 아니라는 평에 동의합니다. 한 명씩 순서대로 돌아가며 문제에 대답해야 하는 것이 부담스럽다고 느껴졌습니다.
초급프랑스어 2,최애영,21,Spring,5.0,"교수님 좋으세요. 특히 문법에 중점을 두고 가르쳐주십니다. 거의 매주 연습문제풀이 과제가 있지만 수업 잘 들으시면 문제 없습니다. 과제 피드백도 잘 해주십니다.
이번학기 시험은 오픈북 중간 2번, 대면 기말 1번이었습니다. 최대한 시험범위에 있어서 학생 부담을 줄여주시려 하신 것 같아요.
성실하게 따라가시면 잘 마무리하실 수 있습니다. 전반적으로 만족스러웠어요~"
초급프랑스어 2,최애영,20,Fall,3.0,"프랑스어를 언어로 공부하고자 하는 사람들에게 맞는 교수님이심. 교재 외의 심화 내용까지 다룸. 
프랑스어의 기초, 특히 Conjugation을 굉장히 중요하게 여기심. 듣는 학생도 적은데 비대면 수업에서 하나하나 말하게 시키심. 선생님 마음은 이해하나 소심한 나에게는 쥐약같은 경험이었음. 
모르는게 있거나 시험을 못보면 선생님이 더 속상하신지 타박을 주심. 
따라서 마음이 편한 수업은 아님. 그래서 이런 교수님 아래서 공부하고 프랑스어 실력이 획기적으로 늘었냐?
그것도 아니....?"
초급프랑스어 2,최애영,20,Fall,5.0,교수님이 학생 편의를 최대한 봐주셔요 좋은 수업이었습니다 겨울계절 수강
초급프랑스어 2,한정주,23,Fall,4.0,"수업은 정말 좋지만 초프2 특성상 잘하는 사람이 너무 많아서 성적 받기는 좀 어려울 수도 있습니다
하지만 교수님은 정말 친절하시고 수업 빠진 날 있으면 남아서 꼭 설명해주십니다 질문도 잘 받아주십니다"
초급프랑스어 2,한정주,23,Fall,5.0,"초프1에서 초프2를 넘어오는 거라.. 초프2에 대한 약간의 두려움이 있었는데 교수님이 설명을 정말 잘 해주셔서 초프2 무사히 마무리할 수 있었습니다. 
한 과가 마치면, 각 과별 연습문제를 베껴쓰는 과제가 주어집니다. 그 과제 외엔 딱히 할게 없어요. 시험 문제 유형에 대해서도 친절히 안내해주십니다. 기본적으로 교과서 속 문법, 예문, 본문 등을 다 암기하시면 큰 문제없이 성적 좋게 받으실 겁니다! 문법 내용들 다 이해하고 난 다음엔 그냥 교과서 내용들에 적용하고 다 암기하는 방식으로 공부했더니 A+ 받을 수 있었습니다! 
교수님이 보충용 프린트를 제공해주시는데, 그건 시험범위에 포함되진 않아용. 출석은 직접 부르십니다.
말이 빠르시긴한데 설명 정말 친절하게 잘 해주시고, 질문도 잘 받아주셔요 교수님이 너무 좋으셔서 추천합니다아..."
초급프랑스어 2,한정주,23,Fall,5.0,제가 봤던 교수님 중에 가장 학생들을 배려해주시고 애기처럼(?) 다뤄주시는 교수님이세요. 성적 나오기 전에 강의평 먼저 씁니다. 수업시간에 나눠주시는 프린트는 시험에는 안들어가지만 프랑스어 공부하기 진짜 최적의 프린트입니다. 다만 말이 좀 빠르셔서 한 번 놓치면 따라가기 힘들지만 정말 정말 굉장히 인품이 좋으신 교수님이십니다. 초프2 수강하실 분들 한정주 교수님 정말 추천합니다!!
초급프랑스어 2,한정주,23,Spring,5.0,"무난하고 깔끔한 강의입니다. 별도의 문법 학습지와 교과서 본문으로 수업을 진행하는데, 학습지 내용이 수업 중 교수님의 설명에 못지않게 매우 친절해서 혼자 공부할 때 활용하기 좋아요. 숙제는 매주 연습문제를 수기로 풀어서 제출하는 것이라 부담이 적습니다. 시험은 필기와 스피킹 모두 중간 및 기말을 보는데, 필기는 교재 안에서만 출제되거 미리 제외해주시는 부분도 있어서 정해진 범위 내의 모든 문장을 외워 가시면 충분히 맞히실 수 있습니다. (저는 이렇게까지는 못 해서 성적 잘 못 받았습니다... ^^) 교수님 말씀이 굉장히 빠르신 편이어서 집중력이 다소 요구되는 편입니다. 프랑스어 기초 탄탄히 쌓고 싶으신 분께 추천합니다!"
