미적분학연습 1,국웅,23,Spring,5.0,"퀴즈 75/75
결석 2회
유니미 5회 미제출

에이쁠

달다"
미적분학연습 1,마대건,21,Spring,5.0,"한학기동안 발표가 한 두번정도 있었는데, 발표 없는 날에는 그냥 가볍게 30분정도 다른 학생들이 푸는거 보고 끝났어요. 발표준비는 그냥 대표문제 두개정도 가볍게 풀면 됩니다. 조교님도 착하셨고 그냥저냥 좋았어요. 비대면학기라 그랬던거일수도 있어요 ㅋㅋㅋ"
미적분학연습 1,마대건,21,Spring,4.0,"뭐 연습/실험 과목은 조교님 역할이 대부분이니, 강의 평가가 사실 큰 의미가 있는 것 같지는 않습니다. 제 분반 조교님은 친절 설명 / 빨리 끝냄 둘 중에서는 후자에 가까운 편이었습니다. 금요일 수업에 빨리 끝냄은 그저 빛,,,,, 진짜 감사합니다."
미적분학연습 1,강정수,23,Spring,5.0,"여전히 학점 뿌려줍니다.. 유니미만 꼬박꼬박 하시면 퀴즈 대략 반타작만 넘으면 A+ 줍니다."
미적분학연습 1,강정수,21,Spring,5.0,"쉬운 퀴즈 몇 번 풀고, 쉬운 문제 발표 몇 번 하면 만점 나오는 강의. 조교님 수학 잘하시는 것 같고 좋았다."
미적분학연습 1,강정수,21,Spring,5.0,"연습과목은 그냥 꿀 그자체. A+을 못 맞은 학생 전체에서 3명."
미적분학연습 1,강정수,21,Spring,5.0,"a+ 못 받은 사람 3명 교수님 피셜 a+ 못 받기 힘든 개꿀강의"
미적분학연습 1,강정수,21,Spring,5.0,수연 미연은 걍 개꿀강. 수업시간에 잘 들어가고 자기 발표시간에 발표준비+유니미 정도만 하면 끝입니다. 조교님 친절하시고 멋있어요 수학에 대한 열정이 가득하신 조교님이라 재밌었습니다
미적분학연습 1,강명주,20,Spring,5.0,"하라는 것만 하면 학점 뿌림. 퀴즈랑 유니미만 꼬박꼬박하면 됨"
미적분학연습 1,김도형,20,Spring,5.0,"말이 필요없습니다. 그저 빛... 적당히만 하면 A+ 나오는 과목입니다!"
미적분학연습 1,천상민,19,Spring,5.0,"조 교 차 이  당연히 조교님이 하시는 수업이니 조교가 중요함 ㅇㅇ 근데 조교가 서재욱 조교님이라면 행복한 미연시간 가능 ㅇㅇ 미적분학연습 2에도 서재욱 조교님 볼 수 있겠지?"
미적분학연습 1,천상민,19,Spring,5.0,"서재욱 조교님 덕분에 꿀강입니다 ㅋㅋㅋㅋ 조교님나가면 어떻게 될지 아무도 모르심ㅋㅋㅋ"
미적분학연습 1,천상민,19,Spring,5.0,"서재욱 조교님 감사했습니다. 최고의 강의, 최고의 수업이었어요"
미적분학연습 1,남계숙,21,Spring,5.0,킹 갓더 조교님... 조교 바이 조교라서... 그래도 이번 조교님 최고였습니다
미적분학연습 1,남계숙,21,Spring,5.0,조교바이조교가 큰 수업이라 딱히 특기할 점은 없으나 첫 수업시간에 교수님께서 격려해주고 가셨기에 감동받아서 5점
미적분학연습 1,남계숙,19,Spring,5.0,미연도 그렇고 수연도 그렇고 학점을 잘 준 편인거 같아요. 퀴즈 100점 만점에 40점 맞고 A+ 받았다는 친구도 봤으니... 허태혁 조교님 수업 잘하십니다. 정확히는 이분 말씀 들으면 시험에서 깎일 일이 잘 없어요. 몰라서 틀리는건 가능하지만.
